username,comment,time,tokens
@jobin380,"pelajaran buat kita semua. kalo nyari karyawan itu bukan karena di sogok, bukan karena kenalan, bukan karena keluarga tapi yg dilihat adalah kemampuan. bukan umur, bukan pendidikan, bukan agama, bukan ras, bukan gender",2 hari yang lalu,"['pelajaran', 'buat', 'kita', 'semua', '.', 'kalo', 'nyari', 'karyawan', 'itu', 'bukan', 'karena', 'di', 'sogok', ',', 'bukan', 'karena', 'kenalan', ',', 'bukan', 'karena', 'keluarga', 'tapi', 'yg', 'dilihat', 'adalah', 'kemampuan', '.', 'bukan', 'umur', ',', 'bukan', 'pendidikan', ',', 'bukan', 'agama', ',', 'bukan', 'ras', ',', 'bukan', 'gender']"
@deguztione,"dari dulu indonesia gak kekurangan orang pintar, tapi kekurangan orang jujur",1 hari yang lalu,"['dari', 'dulu', 'indonesia', 'gak', 'kekurangan', 'orang', 'pintar', ',', 'tapi', 'kekurangan', 'orang', 'jujur']"
@mugiwarahashirama5691,"ketawa di awal gurulih bgt 😂😂😂
menertawakan instansi mabes polri 😂😂",2 hari yang lalu,"['ketawa', 'di', 'awal', 'gurulih', 'bgt', '😂😂😂', 'menertawakan', 'instansi', 'mabes', 'polri', '😂😂']"
@dhikakcm5897,"saya jadi inget kata2 seorang ter*ris imam samudra "" anak muda kalo gak belajar teknologi nanti cari duitnya kaya isilop""

 katakanlah isilop 6 bulan kerja dapet 18 jt, tapi yg menguasai teknologi gajinya 1 hari = gaji isilop 6 bulan",3 jam yang lalu,"['saya', 'jadi', 'inget', 'kata2', 'seorang', 'ter', '*', 'ris', 'imam', 'samudra', '``', 'anak', 'muda', 'kalo', 'gak', 'belajar', 'teknologi', 'nanti', 'cari', 'duitnya', 'kaya', 'isilop', ""''"", 'katakanlah', 'isilop', '6', 'bulan', 'kerja', 'dapet', '18', 'jt', ',', 'tapi', 'yg', 'menguasai', 'teknologi', 'gajinya', '1', 'hari', '=', 'gaji', 'isilop', '6', 'bulan']"
@gustiariastikaputra,"duuuuhhh ampun gw mah sm kelakuan polri, asli speechless bgt..",2 hari yang lalu,"['duuuuhhh', 'ampun', 'gw', 'mah', 'sm', 'kelakuan', 'polri', ',', 'asli', 'speechless', 'bgt', '..']"
@muhamadramadhan741,plot twist bjorka nya yang lagi podcastt auuuuuuuuu😂😂😂😂,1 hari yang lalu,"['plot', 'twist', 'bjorka', 'nya', 'yang', 'lagi', 'podcastt', 'auuuuuuuuu😂😂😂😂']"
@komatsuindonesia8753,ada anak pimpinan saya dulu namanya pak purnawan efendi dia punya anak laki2 mukin sekarang umurnya sudah 30an. waktu kecil anaknya normal pada umumnya.pas kelas sd 3 anaknya itu sakit panas n di sutik ahirnya anak itu lumpuh kedua kakinya kecil. tp dia belajar semua banyak hal dari internet...kuasa allah anak itu pintar sekali n ahli komputer n anak-anak kuliah malah banyak yg belajar dari beliau. kesimpulan stiap kekurangan pasti ada kelebihan 🙏🏻,2 hari yang lalu (diedit),"['ada', 'anak', 'pimpinan', 'saya', 'dulu', 'namanya', 'pak', 'purnawan', 'efendi', 'dia', 'punya', 'anak', 'laki2', 'mukin', 'sekarang', 'umurnya', 'sudah', '30an', '.', 'waktu', 'kecil', 'anaknya', 'normal', 'pada', 'umumnya.pas', 'kelas', 'sd', '3', 'anaknya', 'itu', 'sakit', 'panas', 'n', 'di', 'sutik', 'ahirnya', 'anak', 'itu', 'lumpuh', 'kedua', 'kakinya', 'kecil', '.', 'tp', 'dia', 'belajar', 'semua', 'banyak', 'hal', 'dari', 'internet', '...', 'kuasa', 'allah', 'anak', 'itu', 'pintar', 'sekali', 'n', 'ahli', 'komputer', 'n', 'anak-anak', 'kuliah', 'malah', 'banyak', 'yg', 'belajar', 'dari', 'beliau', '.', 'kesimpulan', 'stiap', 'kekurangan', 'pasti', 'ada', 'kelebihan', '🙏🏻']"
@tatanghusaini,"gara2 dia bikin akun dengan nama ""bjorka"", maka polisi menuduh dia ""bjorka""... asli gua ketawa mendengar keterangan ini",1 hari yang lalu,"['gara2', 'dia', 'bikin', 'akun', 'dengan', 'nama', '``', 'bjorka', ""''"", ',', 'maka', 'polisi', 'menuduh', 'dia', '``', 'bjorka', ""''"", '...', 'asli', 'gua', 'ketawa', 'mendengar', 'keterangan', 'ini']"
@denypratama3212,"bjorka klo lu baca ini,pesen gw.
""pergunakan keahlianmu utk membuka kebusukan penjahat di negeri ini,dengan caramu sendiri"" sbg bukti rasa nasionalisme terhadap republik indonesia.",1 hari yang lalu,"['bjorka', 'klo', 'lu', 'baca', 'ini', ',', 'pesen', 'gw', '.', '``', 'pergunakan', 'keahlianmu', 'utk', 'membuka', 'kebusukan', 'penjahat', 'di', 'negeri', 'ini', ',', 'dengan', 'caramu', 'sendiri', ""''"", 'sbg', 'bukti', 'rasa', 'nasionalisme', 'terhadap', 'republik', 'indonesia', '.']"
@redam1241edam,"ini baru orang benar-benar cerdas, dia tahu kelemahan masyarakat indonesia yg katanya paling ""religius"" dan mudah dikelompokkan!  dia orang masuk ke ranah yg sensitif,  otomatis lebih aman dalam berkonten youtube. .. netizent indonesia jadi gandrung sama cannel ini orang karena ini orang sudah ada dijalur mayoritas!?!? salut sama kecerdasan anda!!!",1 hari yang lalu,"['ini', 'baru', 'orang', 'benar-benar', 'cerdas', ',', 'dia', 'tahu', 'kelemahan', 'masyarakat', 'indonesia', 'yg', 'katanya', 'paling', '``', 'religius', ""''"", 'dan', 'mudah', 'dikelompokkan', '!', 'dia', 'orang', 'masuk', 'ke', 'ranah', 'yg', 'sensitif', ',', 'otomatis', 'lebih', 'aman', 'dalam', 'berkonten', 'youtube', '.', '..', 'netizent', 'indonesia', 'jadi', 'gandrung', 'sama', 'cannel', 'ini', 'orang', 'karena', 'ini', 'orang', 'sudah', 'ada', 'dijalur', 'mayoritas', '!', '?', '!', '?', 'salut', 'sama', 'kecerdasan', 'anda', '!', '!', '!']"
@fuadriyadi366,tsunami fakta 😂,2 hari yang lalu,"['tsunami', 'fakta', '😂']"
@satrioarif1796,fakta,2 hari yang lalu,['fakta']
@aries_bast,belum pernah sekalipun nemu polisi di lingkunganku yg jujur & kerja ga males2an 😂,2 hari yang lalu,"['belum', 'pernah', 'sekalipun', 'nemu', 'polisi', 'di', 'lingkunganku', 'yg', 'jujur', '&', 'kerja', 'ga', 'males2an', '😂']"
@anjasanggara2145,fakta yang sangat nyata,2 hari yang lalu,"['fakta', 'yang', 'sangat', 'nyata']"
@evinsaputra6585,mahkotamu king👑👑,2 hari yang lalu,"['mahkotamu', 'king👑👑']"
@ajunkgraca4992,"faktanya begitu, negara hukum seperti tanpa petugas hukum.",2 hari yang lalu,"['faktanya', 'begitu', ',', 'negara', 'hukum', 'seperti', 'tanpa', 'petugas', 'hukum', '.']"
@bobyenugraha3811,"suka kak patroli malem,, tp nyamperin kang miras,, kang parkir,, tmpat karoke,, club malem bar trus mereka salaman 😂🤣",2 hari yang lalu,"['suka', 'kak', 'patroli', 'malem', ',', ',', 'tp', 'nyamperin', 'kang', 'miras', ',', ',', 'kang', 'parkir', ',', ',', 'tmpat', 'karoke', ',', ',', 'club', 'malem', 'bar', 'trus', 'mereka', 'salaman', '😂🤣']"
@dwiandika-t7w,terlalu fakta 😂,2 hari yang lalu,"['terlalu', 'fakta', '😂']"
@lippo39,real😂,2 hari yang lalu,['real😂']
@jokonarimo1899,yg cuma foto2 itu lho...beneeer bgt..😂,2 hari yang lalu,"['yg', 'cuma', 'foto2', 'itu', 'lho', '...', 'beneeer', 'bgt', '..', '😂']"
@christytolissautboydenpard2794,nah itu dia pelaku pencipta lapangan kerja malah di persulit ya? pdhl dampak mengurangi kemiskinan negara ini sangt berpengaruh dan ini malah di persulit ya gmna ormas2 lainnya juga bs ikutan minta jatah y?? yg kita anggap pelindung rakyat ini aja ikut malak.. harusny 1 kantor itu di pecat aja smuanya dan di miskin kan bahkan klo perlu hukum mati 1 kantor biar ad efek jera  dan g brni lgi bermain dgn hukum...dijamin negara ni maju kayk china.,2 hari yang lalu,"['nah', 'itu', 'dia', 'pelaku', 'pencipta', 'lapangan', 'kerja', 'malah', 'di', 'persulit', 'ya', '?', 'pdhl', 'dampak', 'mengurangi', 'kemiskinan', 'negara', 'ini', 'sangt', 'berpengaruh', 'dan', 'ini', 'malah', 'di', 'persulit', 'ya', 'gmna', 'ormas2', 'lainnya', 'juga', 'bs', 'ikutan', 'minta', 'jatah', 'y', '?', '?', 'yg', 'kita', 'anggap', 'pelindung', 'rakyat', 'ini', 'aja', 'ikut', 'malak', '..', 'harusny', '1', 'kantor', 'itu', 'di', 'pecat', 'aja', 'smuanya', 'dan', 'di', 'miskin', 'kan', 'bahkan', 'klo', 'perlu', 'hukum', 'mati', '1', 'kantor', 'biar', 'ad', 'efek', 'jera', 'dan', 'g', 'brni', 'lgi', 'bermain', 'dgn', 'hukum', '...', 'dijamin', 'negara', 'ni', 'maju', 'kayk', 'china', '.']"
@azwarmudhori7903,"bener banget..
saya juga pernah ngalamin lagi lari pagi tiba tiba ada mobil polisi mberhentiin..
apa sy punya salah..
eeee tidak taunya cuma suruh motoin doang...",2 hari yang lalu,"['bener', 'banget', '..', 'saya', 'juga', 'pernah', 'ngalamin', 'lagi', 'lari', 'pagi', 'tiba', 'tiba', 'ada', 'mobil', 'polisi', 'mberhentiin', '..', 'apa', 'sy', 'punya', 'salah', '..', 'eeee', 'tidak', 'taunya', 'cuma', 'suruh', 'motoin', 'doang', '...']"
@zeanrea5287,"bener sih, padahal harusnya patroli rutin, jadi mencegah kejahatan, lha ini mencegah kagak, kalo warga nangkep malingnya malah dibebasin",2 hari yang lalu,"['bener', 'sih', ',', 'padahal', 'harusnya', 'patroli', 'rutin', ',', 'jadi', 'mencegah', 'kejahatan', ',', 'lha', 'ini', 'mencegah', 'kagak', ',', 'kalo', 'warga', 'nangkep', 'malingnya', 'malah', 'dibebasin']"
@l.334-e9l,jangankan bjorka yg level dewa bandar judol yg di depan mata aja gak mampu mereka tangkap 😂😂,2 hari yang lalu,"['jangankan', 'bjorka', 'yg', 'level', 'dewa', 'bandar', 'judol', 'yg', 'di', 'depan', 'mata', 'aja', 'gak', 'mampu', 'mereka', 'tangkap', '😂😂']"
@setyaalfitrah8659,"betul, saya juga sering liat, polisi poto2 doang. perutnya buncit2 pula. 🤐",2 hari yang lalu,"['betul', ',', 'saya', 'juga', 'sering', 'liat', ',', 'polisi', 'poto2', 'doang', '.', 'perutnya', 'buncit2', 'pula', '.', '🤐']"
@ferrultrasncfc,oalah wkwkwk,2 hari yang lalu,"['oalah', 'wkwkwk']"
@alfiqranian7933,kelas,2 hari yang lalu,['kelas']
@thedjonoasli,"faktaa !! pernah dulu alm kakak punya bayi, depan rumah persis ada warung soto pake live musik & ganggu banget, volume keras pol, yang nyanyi mabok,, yang punya udah ditegur gak ngaruh, lapor pak rt, rtnya kakak yang punya warung lapor ke babinsa suruh ke kantor (polsek) sampe polsek polisi bilang terang2an : punya duit berapa mas buat ngurusin urusan begituan ??! kan anjeng ?!!!",2 hari yang lalu,"['faktaa', '!', '!', 'pernah', 'dulu', 'alm', 'kakak', 'punya', 'bayi', ',', 'depan', 'rumah', 'persis', 'ada', 'warung', 'soto', 'pake', 'live', 'musik', '&', 'ganggu', 'banget', ',', 'volume', 'keras', 'pol', ',', 'yang', 'nyanyi', 'mabok', ',', ',', 'yang', 'punya', 'udah', 'ditegur', 'gak', 'ngaruh', ',', 'lapor', 'pak', 'rt', ',', 'rtnya', 'kakak', 'yang', 'punya', 'warung', 'lapor', 'ke', 'babinsa', 'suruh', 'ke', 'kantor', '(', 'polsek', ')', 'sampe', 'polsek', 'polisi', 'bilang', 'terang2an', ':', 'punya', 'duit', 'berapa', 'mas', 'buat', 'ngurusin', 'urusan', 'begituan', '?', '?', '!', 'kan', 'anjeng', '?', '!', '!', '!']"
@suryantoyanto1986,betul banget ...polri raport nya metah bingit,2 hari yang lalu,"['betul', 'banget', '...', 'polri', 'raport', 'nya', 'metah', 'bingit']"
@renddiraya4464,yah cerminan mayoritas rakyat indonesia lah wkwkwkkw,2 hari yang lalu,"['yah', 'cerminan', 'mayoritas', 'rakyat', 'indonesia', 'lah', 'wkwkwkkw']"
@ferdikuncoro0484,pelan pelan bang😂,2 hari yang lalu,"['pelan', 'pelan', 'bang😂']"
@anggaaditya4164,posisi gonjang ganjing,2 hari yang lalu,"['posisi', 'gonjang', 'ganjing']"
@dinogamingchannel,"lagian, masa' oknum satu indonesia kan bg? hahahaha",2 hari yang lalu,"['lagian', ',', 'masa', ""'"", 'oknum', 'satu', 'indonesia', 'kan', 'bg', '?', 'hahahaha']"
@darma_di,"katanya pengaman masyarakat,, kerjanya aja cuman 8jam 2jam di lapangan pagi doank.. itupun gk 7x24jam.. paling 2x dlm seminggu. parah bed.",2 hari yang lalu,"['katanya', 'pengaman', 'masyarakat', ',', ',', 'kerjanya', 'aja', 'cuman', '8jam', '2jam', 'di', 'lapangan', 'pagi', 'doank', '..', 'itupun', 'gk', '7x24jam', '..', 'paling', '2x', 'dlm', 'seminggu', '.', 'parah', 'bed', '.']"
@miyaditara,polisi gitu semua ga ada kata oknum,2 hari yang lalu,"['polisi', 'gitu', 'semua', 'ga', 'ada', 'kata', 'oknum']"
@saturdaynightboys,ko bener sihb😂😂😂,2 hari yang lalu,"['ko', 'bener', 'sihb😂😂😂']"
@mikhasuryaatmaja,tepat !!!,2 hari yang lalu,"['tepat', '!', '!', '!']"
@donworry539,"betul banget, pada makan gaji buta doang kerjanya 😏",2 hari yang lalu,"['betul', 'banget', ',', 'pada', 'makan', 'gaji', 'buta', 'doang', 'kerjanya', '😏']"
@triaditya4694,giliran g pke helm pas ditikungan udah ada bae yg nyegat buat nilang😂,2 hari yang lalu,"['giliran', 'g', 'pke', 'helm', 'pas', 'ditikungan', 'udah', 'ada', 'bae', 'yg', 'nyegat', 'buat', 'nilang😂']"
@lizenpetualang4181,lah iya kok betul....hedeh hedeh,2 hari yang lalu,"['lah', 'iya', 'kok', 'betul', '....', 'hedeh', 'hedeh']"
@naufalkurniawan5578,dihujani terangnya fakta😅,2 hari yang lalu,"['dihujani', 'terangnya', 'fakta😅']"
@erwan4359,"saya juga pernah ditilang dan dimintain uang sebesar 250k. yg lebih hebatnya lgi pungli tersebut dilakukan secara besar-besaran dan ramai yg dilakukan didalam kantor polresta pangkal pinang bangka belitung. ingat di dalam kantor loh bukan diluar dan korbannya pun 20-30 org mungkin lebih, hitung aja tuh 250×30 org. polisi yg terlibat jg bnyak 10 org lebih mungkin. jdi itu bukan oknum lagi tpi emg polisi. saya sebut lagi tempat nya yaitu polresta pangkal pinang provinsi kepulauan bangka belitung.",2 hari yang lalu (diedit),"['saya', 'juga', 'pernah', 'ditilang', 'dan', 'dimintain', 'uang', 'sebesar', '250k', '.', 'yg', 'lebih', 'hebatnya', 'lgi', 'pungli', 'tersebut', 'dilakukan', 'secara', 'besar-besaran', 'dan', 'ramai', 'yg', 'dilakukan', 'didalam', 'kantor', 'polresta', 'pangkal', 'pinang', 'bangka', 'belitung', '.', 'ingat', 'di', 'dalam', 'kantor', 'loh', 'bukan', 'diluar', 'dan', 'korbannya', 'pun', '20-30', 'org', 'mungkin', 'lebih', ',', 'hitung', 'aja', 'tuh', '250×30', 'org', '.', 'polisi', 'yg', 'terlibat', 'jg', 'bnyak', '10', 'org', 'lebih', 'mungkin', '.', 'jdi', 'itu', 'bukan', 'oknum', 'lagi', 'tpi', 'emg', 'polisi', '.', 'saya', 'sebut', 'lagi', 'tempat', 'nya', 'yaitu', 'polresta', 'pangkal', 'pinang', 'provinsi', 'kepulauan', 'bangka', 'belitung', '.']"
@ojicastrol,fakta,2 hari yang lalu,['fakta']
@danangfebrianto1519,terlalu bersinar ini,2 hari yang lalu,"['terlalu', 'bersinar', 'ini']"
@erlanggasamudra3538,"bang pelan pelan, jangan kasih fakta seterang ini 😅",2 hari yang lalu,"['bang', 'pelan', 'pelan', ',', 'jangan', 'kasih', 'fakta', 'seterang', 'ini', '😅']"
@rizkipebriansyah2157,jujur amat😅,2 hari yang lalu,"['jujur', 'amat😅']"
@aldisetiawan9205,rill tsunami fakta gak terbendung😂,2 hari yang lalu,"['rill', 'tsunami', 'fakta', 'gak', 'terbendung😂']"
@suartamayasa-c4p,😢,2 hari yang lalu,['😢']
@rezkyramdhan-r3b,"polisi nyrik heker mana bisa, kalau jadi tukang intimidasi sama bekingan perusahaan baru top 1 dunia",2 hari yang lalu,"['polisi', 'nyrik', 'heker', 'mana', 'bisa', ',', 'kalau', 'jadi', 'tukang', 'intimidasi', 'sama', 'bekingan', 'perusahaan', 'baru', 'top', '1', 'dunia']"
@ammarzone-tv,"lah iya bener 😂😂😂, awas bang takutnya ada tukang nasi goreng lewat depan rumah bawa beceng 😂😂",2 hari yang lalu,"['lah', 'iya', 'bener', '😂😂😂', ',', 'awas', 'bang', 'takutnya', 'ada', 'tukang', 'nasi', 'goreng', 'lewat', 'depan', 'rumah', 'bawa', 'beceng', '😂😂']"
@yanferisitorus1776,"priiittt, tunjukkan sim dan stnk.
kesalahan bapak terlalu banyak fakta 😂",2 hari yang lalu,"['priiittt', ',', 'tunjukkan', 'sim', 'dan', 'stnk', '.', 'kesalahan', 'bapak', 'terlalu', 'banyak', 'fakta', '😂']"
@eyesflowersrelaxing150,"betul saya ada kehilangan 2 kali kendaran kaga ada tindak lanjut bertahun-tahun, ujung"" ikhlas males lapor percuma",2 hari yang lalu,"['betul', 'saya', 'ada', 'kehilangan', '2', 'kali', 'kendaran', 'kaga', 'ada', 'tindak', 'lanjut', 'bertahun-tahun', ',', 'ujung', ""''"", 'ikhlas', 'males', 'lapor', 'percuma']"
@emensantoso2869,terlalu silau bang,2 hari yang lalu,"['terlalu', 'silau', 'bang']"
@putrahambalang,asumsi dan cerita orang😂😂,2 hari yang lalu,"['asumsi', 'dan', 'cerita', 'orang😂😂']"
@irossalya2358,lahhhh kenapa sama dengan daerah ku 😂,2 hari yang lalu,"['lahhhh', 'kenapa', 'sama', 'dengan', 'daerah', 'ku', '😂']"
@davinadebykalimazahwa,yg di tangkep orang yg merugikan bandar judol,2 hari yang lalu,"['yg', 'di', 'tangkep', 'orang', 'yg', 'merugikan', 'bandar', 'judol']"
@anasumanah5158,"kehilangan apa dulu bu ? saya di hong kong kehilangan dopet uang ,hp ,ktp hong kong ,atm hk. lapor polisi hong kong cuma di kasih kertas laporan bawah saya kehilangan ktp dan atm.  dan saya bikin baru ktp dan atm. dan polisi tidak mungkin mencari tas saya yg hilang . tinggal apa yg hilang bu .bodoh sekali km",2 hari yang lalu,"['kehilangan', 'apa', 'dulu', 'bu', '?', 'saya', 'di', 'hong', 'kong', 'kehilangan', 'dopet', 'uang', ',', 'hp', ',', 'ktp', 'hong', 'kong', ',', 'atm', 'hk', '.', 'lapor', 'polisi', 'hong', 'kong', 'cuma', 'di', 'kasih', 'kertas', 'laporan', 'bawah', 'saya', 'kehilangan', 'ktp', 'dan', 'atm', '.', 'dan', 'saya', 'bikin', 'baru', 'ktp', 'dan', 'atm', '.', 'dan', 'polisi', 'tidak', 'mungkin', 'mencari', 'tas', 'saya', 'yg', 'hilang', '.', 'tinggal', 'apa', 'yg', 'hilang', 'bu', '.bodoh', 'sekali', 'km']"
@andrekemang,fakta bgt,2 hari yang lalu,"['fakta', 'bgt']"
@joelfarhan,namanya terlalu robot nih🤣,2 hari yang lalu,"['namanya', 'terlalu', 'robot', 'nih🤣']"
@prauhahuha,"awok"" wadidaw.....😂😂😂",2 hari yang lalu,"['awok', ""''"", 'wadidaw', '.....', '😂😂😂']"
@ismailmarzuki6417,udah jadi rahasia umum dan ga akan pernah berubah,2 hari yang lalu,"['udah', 'jadi', 'rahasia', 'umum', 'dan', 'ga', 'akan', 'pernah', 'berubah']"
@ikgodanins2nd962,eitssss😂,2 hari yang lalu,['eitssss😂']
@justme-hanna,saya lapor polisi adik saya hilang sampai 3 thn sekarang dan fakta nya polisinya minta uang biar bisa nyari  !!!!!!!!!!!!!,2 hari yang lalu,"['saya', 'lapor', 'polisi', 'adik', 'saya', 'hilang', 'sampai', '3', 'thn', 'sekarang', 'dan', 'fakta', 'nya', 'polisinya', 'minta', 'uang', 'biar', 'bisa', 'nyari', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!']"
@rezarenaldy-ku5wg,🔥🔥🔥🔥,2 hari yang lalu,['🔥🔥🔥🔥']
@edobaceng,"kok sama 😅 bikin surat kehilangan motor aja di suruh bayar 2,5jt dalam sebulan di puter2 terus baru jadi. kalo mau di tindak lanjuti di minta separo dari harga motor",2 hari yang lalu,"['kok', 'sama', '😅', 'bikin', 'surat', 'kehilangan', 'motor', 'aja', 'di', 'suruh', 'bayar', '2,5jt', 'dalam', 'sebulan', 'di', 'puter2', 'terus', 'baru', 'jadi', '.', 'kalo', 'mau', 'di', 'tindak', 'lanjuti', 'di', 'minta', 'separo', 'dari', 'harga', 'motor']"
@roisulharis-pc9wz,real!,2 hari yang lalu,"['real', '!']"
@kecebongsakti2337,"gw nangkap maling,lapor polisi,2 jam baru datang,setelah datang di suruh lepasin maling nya,isilop malah minta sama maling 5jt biar di lepas,udh hancur negri ini",2 hari yang lalu,"['gw', 'nangkap', 'maling', ',', 'lapor', 'polisi,2', 'jam', 'baru', 'datang', ',', 'setelah', 'datang', 'di', 'suruh', 'lepasin', 'maling', 'nya', ',', 'isilop', 'malah', 'minta', 'sama', 'maling', '5jt', 'biar', 'di', 'lepas', ',', 'udh', 'hancur', 'negri', 'ini']"
@renapurwanti5911,baru juga seminggu gw liat polisi pas pagi d poto.doang perepatan lngsung pulanh lagi dia wkwk,2 hari yang lalu,"['baru', 'juga', 'seminggu', 'gw', 'liat', 'polisi', 'pas', 'pagi', 'd', 'poto.doang', 'perepatan', 'lngsung', 'pulanh', 'lagi', 'dia', 'wkwk']"
