comment_clean,cluster
hilang hong kong hilang dopet uang ktp hong kong atm lapor polisi hong kong kertas lapor hilang ktp atm bikin ktp atm polisi cari tas hilang tinggal hilang bodoh,2
lapor polisi adik hilang thn fakta nya polisi uang nyari,2
bikin surat hilang motor suruh bayar puter tindak lanjut paro harga motor,2
nangkap maling lapor polisi suruh lepasin maling nya isilop maling lepas hancur negri,2
liat polisi pas pagi potodoang perepat lngsung pulanh,3
bener reformasi polisi,3
keluarga peras polisi kerjasama oknum jabat lurah nuntut salah laku,0
lapor ilang motor proses ilang mobil,2
motor hilang temu ngambil palak kanit reskrim ank buah mnta duit rokok parah wes,2
bener nganter anak sekolah nya ngebantu nyebrangin anak anak sekolah asyik foto foto lapor liat kerja sebrangi anak,1
orang tuju institusi polisi tni kapolri kapolrian,1
gua bang kena begal syukur diapaapain cumn ambil doang motor nya anggota nya ngomong begal kaga saksi,4
bner fto ngajak orang nongkrong poko citra,1
realeated kota kaya,4
fakta polisi gitu gausah oknum muak,6
gilak penah fakta terang,6
elah pake skenario sandiwara contoh grebek cafe tilang tilang maling teriak maling tawur polisi olah kerja parah nyuruh orang ngedarin narkoba dampak tangkep orang penasaran narkoba,1
komen sesuai fakta,6
bro gitu mkdal bro,4
anak smp suruh motoin pagi,3
foto empat ngopi daerah,4
anjirr suruh motoin,4
nyata swperti cari kambing hitam,4
foto bntr dokumen kirim grup polisi,3
bantu mabes mas mas bawah ikat yaah system,4
gua tuju gua pling mles nmnya isi lop,4
bener sekalikalau pagi jaga lintas pegawai busway,3
diomongin baca yaa,4
ban nyata hmm syulit,4
fakta terang terang cahaya ilahi,6
mending nangjap bjorka,5
abis foto kirim atas lapor abis ngopi liat pagi,3
bobrok institusi bayar gaji masyarakat,4
cocok makan gaji rakyat manfaat rakyat,4
kantor polisi rumah temen maling tas dompet hilang surat temen bilang lapor surat hilang blablabla polisi blablabla temen administrasi polisi temen maturnuwun and langkah jalan panggil pakpol pakpol mas mas pernae rokoke permene gila administrasi pas tiba ngasih kode uang jajan orang kena musibah maling lawak,2
ngoten gercep bang,4
polisi jujur hoegeng polisi tidur,3
dih ngomong suka bener,4
temen kena narkobs ketangkep tiba bsoknya rumah iseng nebus surat lapor sbelum layang jaksa njiir gilaak bener mahfud urus hukum pintu utama polisi,2
patroli malam liat polisi patroli malam henti depan karaoke mobil orang hampir bawan rokok,3
bener bobrok oknum bejibun,4
pingin masuk gua hacker akses,4
masukksana bayar heran jdinya bgini,4
preman bikin susah dunia usaha,4
pengelihtan gua karna kbiasaan enak mngkin sim byar pajek susah situ masyrakat nembak bikin cpt mudah situ enak kbiasaan bhkan bukan sepele,4
alami parah bro nabrak orang sampae patah tulang tanggungjawab korban biaya tanggungjawab laka lantas jasa raharja jasa raharja saran kakak korban jasa raharja biaya tuju urus jasa raharja surat polsekpolres syarat jasa raharja cair dana urus surat polrespolsek bilang paro polsekpolres arti urus selesai singkat dana jasa raharja turun polsek bawa amplop isi uang ribu dana korban obat dana sekian silah tinggal polsek urus obat korban alam hati urus jasa raharja pandai rugi,2
bener bangett cuyy,4
abang ngomong suka bener,4
ariesbast balikin modal ngejar visi misi oknum,4
gua cuman gua polisi foto empat foto foto empat tinggal,3
patroli cafe tuak,4
jir fakta wkwkwkwkwk,6
malem pergi bri atm orang parcok foto pintu masuk bank salah nya fotoin gataunya satu adl tetangga kya cengok sampe ktmu shalat jamaah kya hindar gtu hehehe,1
ariesbast masuk suap anggap profesi abdi bisnis,4
bobyenugraha jirr kaya instansi perintah lurah ketua dpc ormas tukang palak lapak camat isi dominan keluarga,0
oknum cendrung baik teman teman,4
fakta suami sya kerja satpam polisi dteng bwa mobil fto kabur,1
jokonarimo dsini brrti,4
senin kamis kota foto foto,4
boom empat kadang nyuruh kang ojek fotoin,4
rekrutmen pungli bayar lolos sampek kiamat kerja sesuai job desk nya temen sampe ngandelin gaji nutup uang,2
asa tender cyber security,4
banjir faktaa boss,4
komen kog suka bener,4
fakta ngak maju kantor sabtu libur,6
hahahahah selfi dlu abis cabut,4
tau keluarga sanak saudara daftar polisi benci rekrutmen daftar ribu dikit butuh polisi,3
fakta kampung gitu pas rajia lalulintas bikin rugi masyarakat ayom nya,3
gausah jauh bang bikin sim calo calo polisi sndiri,4
empat polwannya make tebal glowing glowing pagi empat,3
kerja idam idam orang calon mertua,1
bayar bayar habis tanah habis sawah habis,4
warga suruh ronda,4
ortu lapor hilang gas maling ketangkep kak ortu lapor suruh bayar lapor gila lepas maling,2
hilang motor sepupu lapor polisi gubris maling motor informasi lacak alhamdulilah ketemu berkat tunjuk hilang nya daerah ambil kelompok hilang nya daerah kelompok ambil,2
fakta pernh ngalamin busuk ladusing,6
taat patung polisi polisi tidur,3
coklat adab sok etika,4
turis asing lapor damkar hilang,2
