no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto,cabang,review_length,ulasan_clean,sentiment,pos_words,neg_words,sentiment_score
44,,Fallah Pamungkas,5,2 hari lalu,nyaman banget buat nugas atau cuma nyantai,,Tidak,1009 Palagan,42,nyaman banget buat nugas cuma nyantai,positif,1,0,1
47,,Dina Fajar,5,2 hari lalu,pelayanan ramahh,,Tidak,1009 Palagan,16,layan ramahh,positif,0,0,0
48,,Vita Lestari,5,2 hari lalu,pelayanan nya ramahh,,Tidak,1009 Palagan,20,layan ramahh,positif,0,0,0
49,,Alaili Cahaya Kamilah,5,2 hari lalu,"Bagus, Estetika dan Instagramable",,Tidak,1009 Palagan,33,bagus estetika instagramable,positif,2,0,2
50,,01_Agustina Restu Ayu Damayanti,5,2 hari lalu,"matcha nya enak, tempatnya gede & pw bgt",,Tidak,1009 Palagan,40,matcha enak tempat gede banget,positif,1,0,1
51,,amariLLis,5,2 hari lalu,makanan dan tempat mantaappp,,Tidak,1009 Palagan,28,makan tempat mantaap,positif,0,0,0
52,,17 Klara Adinda,5,2 hari lalu,Enak nyaman baguss rapi,,Tidak,1009 Palagan,23,enak nyaman baguss rapi,positif,3,0,3
67,,Putri Nurainningtyas,5,2 hari lalu,"tempatnya cozy dan banyak spot untuk foto foto hihi, will come back later!",,Tidak,1009 Palagan,74,tempat cozy banyak spot foto will come back later,positif,1,0,1
68,,Fendi Wirawan,5,2 hari lalu,Sangat mengesankan!,,Tidak,1009 Palagan,19,sangat kesan,positif,0,0,0
73,,Fathurochman A.g,5,2 hari lalu,"Comfortable, cocok buat kalian yang suka ngopi plus cari tempat aesthetic buat foto-foto",,Tidak,1009 Palagan,88,comfortable cocok buat suka ngopi plus cari tempat aesthetic buat foto,positif,3,0,3
80,,Deandre Dewangga Putra,5,3 hari lalu,pelayanan ramah sumpah tempat bersih,,Tidak,1009 Palagan,36,layan ramah sumpah tempat bersih,positif,2,0,2
81,,Rheiza Edelwheyz,5,3 hari lalu,"enakkk, pelayanannya ramahh",,Tidak,1009 Palagan,27,enak layan ramahh,positif,1,0,1
82,,Nabigh 13,5,3 hari lalu,pelayanannya mantapp suasananyaa enjoyyy,,Tidak,1009 Palagan,40,layan mantap suasananyaa enjoy,positif,1,0,1
83,,Jonas Khan,5,3 hari lalu,"pelayananya sangat ramahh, minumanyaa enakk",,Tidak,1009 Palagan,43,pelayananya sangat ramahh minumanyaa enak,positif,1,0,1
84,,Raditya mas,5,3 hari lalu,rasanya mantap pelayananya ramah banget mas aslam orangnya asik,,Tidak,1009 Palagan,63,rasa mantap pelayananya ramah banget aslam orang asik,positif,2,0,2
85,,Diva Aura,5,3 hari lalu,"makanannya enakk,recommended bangettt pegawainya juga ramah polll,tempatnya cozy abizzz,indornya jugaa ademm",,Tidak,1009 Palagan,108,makan enak recommended banget pegawai ramah tempat cozy abiz indornya jugaa ademm,positif,4,0,4
92,,Rasyad Nurudin,5,3 hari lalu,pelayanan nya sangat ramahh,,Tidak,1009 Palagan,27,layan sangat ramahh,positif,0,0,0
93,,Hisyam Abi Saadan,5,3 hari lalu,"matcha nya segar tempat nya juga luas dan estetik recomended untuk nongkrong anak muda,",,Tidak,1009 Palagan,87,matcha segar tempat luas estetik recomended nongkrong anak muda,positif,2,0,2
94,,Mio Lontong,5,3 hari lalu,Disini tempatnya bagus untuk foto² dan minumannya enak,,Tidak,1009 Palagan,54,sini tempat bagus foto minum enak,positif,2,0,2
100,,nadine refi,5,3 hari lalu,"cafenya bagusss, rekomend bgt",,Tidak,1009 Palagan,29,cafenya bagus recommended banget,positif,2,0,2
101,,diva rismawati,5,3 hari lalu,cafe nya bagusss rekomend bangett kesini,,Tidak,1009 Palagan,40,cafe bagus recommended banget kesini,positif,2,0,2
102,,mims,5,3 hari lalu,enak bangett tempatnyaaa,,Tidak,1009 Palagan,24,enak banget tempat,positif,1,0,1
106,,Agil Sadewa,5,4 hari lalu,pelayanannya sangat baik dan juga kakak nya ramah ramah cocok buat santai santai dan tempatnya luas cocok buat foto foto,,Tidak,1009 Palagan,120,layan sangat baik kakak ramah cocok buat santai tempat luas cocok buat foto,positif,5,0,5
107,,Adissa Diva Fitriani,5,4 hari lalu,Tempatnya bagus dan menunya worth it,,Tidak,1009 Palagan,36,tempat bagus menu worth,positif,2,0,2
108,,Zetty Ristyandani,5,4 hari lalu,"tempatnya sangat bagus, pelayanannya sangat ramah sekali, makanannya juga enak dan terjangkau..",,Tidak,1009 Palagan,95,tempat sangat bagus layan sangat ramah sekali makan enak jangkau,positif,3,0,3
119,,Sri Mulyati,2,4 hari lalu,"kebersihan ruang indor kurang
tidak adatisu toilet",,Tidak,1009 Palagan,51,bersih ruang indor kurang adatisu toilet,negatif,1,1,0
122,,Ea fc 25 Beta,5,5 hari lalu,"Kopi ini enak banget, aku butuh matcha.",,Tidak,1009 Palagan,39,kopi enak banget butuh matcha,positif,1,0,1
124,,Vina Pin,5,5 hari lalu,Behhh kopinya bikin nagi wenak pol tempatnya sangat sangat nyaman apalagi ada indornya bikin betah bakal jadi langganan nongki sih sama satu lagi pelayanannya super super ramah bintang 100😍 …,,Tidak,1009 Palagan,191,kopi bikin nagi wenak tempat sangat nyaman apalagi indornya bikin betah bakal jadi langgan nongki sama satu lagi layan super ramah bintang,positif,2,0,2
126,,Asroful Anam,5,5 hari lalu,mantap,,Tidak,1009 Palagan,6,mantap,positif,1,0,1
129,,vincent,5,5 hari lalu,tempat nya nyaman buat nongkrong,,Tidak,1009 Palagan,32,tempat nyaman buat nongkrong,positif,1,0,1
131,,Septi Nur,5,5 hari lalu,"tempat nya bgus banyak spot foto , buat kalian yg mau foto” ootd kalian wajid kesini 🫶🏻 …",,Tidak,1009 Palagan,89,tempat bgus banyak spot foto buat foto ootd wajid kesini,positif,0,0,0
132,,Berlian Putri,5,5 hari lalu,pelayanannya  mantap,,Tidak,1009 Palagan,20,layan mantap,positif,1,0,1
134,,GANY TANSYIANI,5,5 hari lalu,Sangat recomended dan instagramable,,Tidak,1009 Palagan,35,sangat recomended instagramable,positif,1,0,1
136,,muhammad alfian,5,5 hari lalu,merekomendasikan,,Tidak,1009 Palagan,16,rekomendasi,positif,1,0,1
137,,Muhammad Fauzan,5,5 hari lalu,terbaik pokoknya,,Tidak,1009 Palagan,16,baik pokok,positif,1,0,1
140,,putri wahyu cahyani,5,6 hari lalu,"Bagus tempatnya, rekomend",,Tidak,1009 Palagan,25,bagus tempat recommended,positif,2,0,2
142,,aulia windyy,5,6 hari lalu,Bersih pelayanan ramah harga sesuai,,Tidak,1009 Palagan,35,bersih layan ramah harga sesuai,positif,2,0,2
144,,Ragil Aji pangestu,5,6 hari lalu,keren parah sih,,Tidak,1009 Palagan,15,bagus parah,positif,1,0,1
147,,Dewi Anggraini,5,6 hari lalu,pelayanan yang ramah tempat nya bersih,,Tidak,1009 Palagan,38,layan ramah tempat bersih,positif,2,0,2
148,,annisachris mesya,5,6 hari lalu,"pelayanan nya sangat ramah,baik hati",,Tidak,1009 Palagan,36,layan sangat ramah baik hati,positif,2,0,2
151,,Arya Bagas Budianto,5,6 hari lalu,Mas dan Mbaknya ramah,,Tidak,1009 Palagan,21,mbak ramah,positif,1,0,1
152,,san sna,5,6 hari lalu,Tempat Nyaman dan great service,,Tidak,1009 Palagan,31,tempat nyaman great service,positif,2,0,2
154,,FARKHAN FIDAYA,5,6 hari lalu,tempatnya bagus soalnya bareng pacar saya,,Tidak,1009 Palagan,41,tempat bagus soal bareng pacar,positif,1,0,1
155,,Amalia Putri,5,6 hari lalu,pelayanannya ramah sekali dan tempatnya juga nyaman🫶🏻,,Tidak,1009 Palagan,53,layan ramah sekali tempat nyaman,positif,2,0,2
156,,Nova Satriani,5,6 hari lalu,di atas,,Tidak,1009 Palagan,7,atas,positif,0,0,0
158,,fionaariani purnomo,5,6 hari lalu,enak bangettt buat nongs santuyyy,,Tidak,1009 Palagan,33,enak banget buat nongs santuy,positif,1,0,1
160,,Fransiska Finali,5,6 hari lalu,servicenya keren poll,,Tidak,1009 Palagan,21,servicenya bagus banget,positif,1,0,1
163,,Ardian ary,5,seminggu lalu,cepet buka cabang di surabaya!! tempatnya kerennn,,Tidak,1009 Palagan,49,cepet buka cabang surabaya tempat bagus,positif,1,0,1
165,,indah,5,seminggu lalu,"makanan dan minumannya enak banget, tempatnya luas bikin betah, apalagi pelayanan kak alya best pokoknya",,Tidak,1009 Palagan,104,makan minum enak banget tempat luas bikin betah apalagi layan alya best pokok,positif,3,0,3
167,,Eva Agustina,5,seminggu lalu,mas mb nya ramah ramahh semuaaa,,Tidak,1009 Palagan,31,ramah ramahh semua,positif,1,0,1
168,,Afil Ramdhoni,5,seminggu lalu,rekomend banget buat nongkrong,,Tidak,1009 Palagan,30,recommended banget buat nongkrong,positif,1,0,1
169,,Fikria Bima Mayatari Marzuqah,5,seminggu lalu,baguss sekali spot foto nyaaa,,Tidak,1009 Palagan,29,baguss sekali spot foto,positif,0,0,0
171,,yosi imelda yuliana,5,seminggu lalu,"pelayanannya bagus banget, semuanya ramah dan selalu senyumm. kopi sama non kopinya juga affordable dan enakk. top bgt deh",,Tidak,1009 Palagan,122,layan bagus banget semua ramah selalu senyumm kopi sama kopi affordable enak bagus banget,positif,4,0,4
174,,MARKUS ESCHER,5,seminggu lalu,"Tempatnya enak dan adem
Banyak spot foto juga",,Tidak,1009 Palagan,46,tempat enak adem banyak spot foto,positif,2,0,2
176,,Enggarbramastha,5,seminggu lalu,tempat nya enak nyaman,,Tidak,1009 Palagan,22,tempat enak nyaman,positif,2,0,2
177,,Arfan Rabbani,5,seminggu lalu,"Wifi lancar, main mobile legend no leg, kopinya mantap, karyawannya ramah, banyak diskon, ada ruang smoking indor, baristanya cantik2, the best pokoknya.",,Tidak,1009 Palagan,153,wifi lancar main mobile legend kopi mantap karyawannya ramah banyak diskon ruang smoking indor baristanya cantik best pokok,positif,4,0,4
178,,Fadhil Fatahillah,5,seminggu lalu,staff ramah dan baik,,Tidak,1009 Palagan,20,staff ramah baik,positif,2,0,2
189,,Cahya Budi setyawan,5,seminggu lalu,tempatnya cocok banget buat foto',,Tidak,1009 Palagan,33,tempat cocok banget buat foto,positif,1,0,1
204,,clara araa,2,seminggu lalu,"kmrn hbs ksni,yg jg kasir,cwe,jutek,gjls bgt,,stdkny customer dilyni dg baik,wlpn km lg bt ato gmn ya.",,Tidak,1009 Palagan,102,kmrn ksni kasir jutek gjls banget stdkny customer dilyni baik wlpn lagi,negatif,1,1,0
208,,Setiawan Bam,5,seminggu lalu,Pelayanan baik dan ramah,,Tidak,1009 Palagan,24,layan baik ramah,positif,2,0,2
216,,minat_ uhuy,5,seminggu lalu,bagus,,Tidak,1009 Palagan,5,bagus,positif,1,0,1
221,,Fenti Novita,5,seminggu lalu,"tempatnya bagus bangettt, pelayanannya juga baik, pegawainya ramah poll, makanan minumannya juga enakkkkk",,Tidak,1009 Palagan,105,tempat bagus banget layan baik pegawai ramah banget makan minum enak,positif,4,0,4
222,,Winda Puspitasari,5,seminggu lalu,Tempatnya bagus dan banyak spot fotonya,,Tidak,1009 Palagan,39,tempat bagus banyak spot foto,positif,1,0,1
223,,Athala Dyah Arumsari,5,seminggu lalu,"Bagus bgt tempatnya, banyak spot foto",,Tidak,1009 Palagan,37,bagus banget tempat banyak spot foto,positif,1,0,1
224,,Niila Mafaaza,5,seminggu lalu,pelayanan ramah,,Tidak,1009 Palagan,15,layan ramah,positif,1,0,1
227,,Ikhsan Yaseer,5,seminggu lalu,Asoyyyyy,,Tidak,1009 Palagan,8,asoy,positif,0,0,0
242,,018 Wanda ayu Warohmah,5,seminggu lalu,coffenya enak tempat luas recomend buat nongkrong,,Tidak,1009 Palagan,49,coffenya enak tempat luas recomend buat nongkrong,positif,2,0,2
243,,Nurul Fuadi,5,seminggu lalu,asik asik,,Tidak,1009 Palagan,9,asik,positif,0,0,0
244,,Sari Nabilla Siregar,5,seminggu lalu,kopi dengan somres nya best banget😭,,Tidak,1009 Palagan,35,kopi somres best banget,positif,1,0,1
246,,melita pangaribuan,5,seminggu lalu,instagramable,,Tidak,1009 Palagan,13,instagramable,positif,1,0,1
249,,Asseyra Bimbie,5,seminggu lalu,Mantap,,Tidak,1009 Palagan,6,mantap,positif,1,0,1
250,,ahmadallam,5,seminggu lalu,"pelayanan ramah, tempat bagus",,Tidak,1009 Palagan,29,layan ramah tempat bagus,positif,2,0,2
260,,syfa ach,5,seminggu lalu,"makanan enak, tempatnya keren, crew” ramahhh”🫰🏻",,Tidak,1009 Palagan,47,makan enak tempat bagus crew ramah,positif,3,0,3
263,,Nifta Aprilla,5,seminggu lalu,bagus,,Tidak,1009 Palagan,5,bagus,positif,1,0,1
264,,Rafi Hamzah,5,seminggu lalu,Tempat yang asyik untuk menikmati kopi terbaik di Jogja. Kalcerr banget!,,Tidak,1009 Palagan,72,tempat asyik nikmat kopi baik jogja kalcerr banget,positif,2,0,2
265,,Rafi Bahtiar,4,seminggu lalu,kopi enakk dan pelayanan sangat ramah,,Tidak,1009 Palagan,37,kopi enak layan sangat ramah,positif,2,0,2
269,,Umi Siti,5,seminggu lalu,"esteticc, worit untuk nongkrong santai",,Tidak,1009 Palagan,38,esteticc worit nongkrong santai,positif,0,0,0
283,,Nova Dwi,5,2 minggu lalu,tempat nya rekomennn gaissss baguss,,Tidak,1009 Palagan,35,tempat recommended gais baguss,positif,1,0,1
285,,Indi Tuankotta,5,2 minggu lalu,"cafenya bagus, rekomendet bangat",,Tidak,1009 Palagan,32,cafenya bagus rekomendet bangat,positif,1,0,1
286,,Aslam Tholib,5,2 minggu lalu,Pelayanan ramah,,Tidak,1009 Palagan,15,layan ramah,positif,1,0,1
289,,Safira Rizqy,5,2 minggu lalu,"tempatnya keren, skena abissssss",,Tidak,1009 Palagan,32,tempat bagus skena abis,positif,1,0,1
290,,raiyakhalisaa,5,2 minggu lalu,"kakak syafa baik, ramah tadi bantuin minumanku tumpah😭🤍🩶🫰🏻",,Tidak,1009 Palagan,58,kakak syafa baik ramah tadi bantuin minum tumpah,positif,2,0,2
301,,hafidz ramadhan,5,2 minggu lalu,"Enak,dingin,keren dah pokoknyaa
Reqomen banget",,Tidak,1009 Palagan,47,enak dingin bagus pokoknyaa reqomen banget,positif,2,1,1
310,,Ferinda Nur,5,2 minggu lalu,jajak pendapat estetika,,Tidak,1009 Palagan,23,jajak dapat estetika,positif,0,0,0
311,,Zaila Humairoh,5,2 minggu lalu,"tempatnya oke bangettt, pelayanannya bintang 1000/10, pokonyaa the besttt ❤️‍🔥❤️‍🔥",,Tidak,1009 Palagan,82,tempat banget layan bintang pokonyaa best,positif,1,0,1
313,,Okta Ramadhani,5,2 minggu lalu,nyaman tempatnya,,Tidak,1009 Palagan,16,nyaman tempat,positif,1,0,1
314,,Agasta Sanjung,5,2 minggu lalu,"pelayanan nya super ramah, tempatnya bagus bgtt, rekomendd banget deh",,Tidak,1009 Palagan,69,layan super ramah tempat bagus banget rekomendd banget,positif,2,0,2
315,,arfiann fian,5,2 minggu lalu,sangat enakk,,Tidak,1009 Palagan,12,sangat enak,positif,1,0,1
317,,wisnu Dharmaindra,5,2 minggu lalu,terbaik,,Tidak,1009 Palagan,7,baik,positif,1,0,1
323,,8D_12_Mahesa Brian,5,2 minggu lalu,kalcelll banget,,Tidak,1009 Palagan,15,kalcel banget,positif,0,0,0
328,,Thania Putri,5,2 minggu lalu,Tempatnya nyaman dan pelayanannya ramah,,Tidak,1009 Palagan,39,tempat nyaman layan ramah,positif,2,0,2
341,,Ιαιαα,5,2 minggu lalu,kueaaaaaa,,Tidak,1009 Palagan,9,kuea,positif,0,0,0
353,,Qonita Miftahul Jannah,5,2 minggu lalu,Sangat enak dan nyaman tempatnya,,Tidak,1009 Palagan,32,sangat enak nyaman tempat,positif,2,0,2
355,,Casa Nabila,5,2 minggu lalu,tempatnya bagus pelayanan ramah rekomendasi buat ngopi disinii,,Tidak,1009 Palagan,62,tempat bagus layan ramah rekomendasi buat ngopi sini,positif,3,0,3
359,,Binti Nafisah,5,2 minggu lalu,cozy banget,,Tidak,1009 Palagan,11,cozy banget,positif,1,0,1
361,,Dini Rachmawati,5,2 minggu lalu,tempatnya menarik dan luas,,Tidak,1009 Palagan,26,tempat tarik luas,positif,1,0,1
366,,Alfina Sherly,5,2 minggu lalu,spot fotonya banyak,,Tidak,1009 Palagan,19,spot foto banyak,positif,0,0,0
368,,Rafa Adil,5,2 minggu lalu,Bagus,,Tidak,1009 Palagan,5,bagus,positif,1,0,1
373,,dewi atminih,5,2 minggu lalu,pelayanan,,Tidak,1009 Palagan,9,layan,positif,0,0,0
378,,Adelluna Kurnia,5,2 minggu lalu,tempatnya cozy bgt,,Tidak,1009 Palagan,18,tempat cozy banget,positif,1,0,1
384,,Maulana Fajar,5,2 minggu lalu,Mantap,,Tidak,1009 Palagan,6,mantap,positif,1,0,1
388,,al fajrinn,5,2 minggu lalu,bagus,,Tidak,1009 Palagan,5,bagus,positif,1,0,1
392,,feronika wahyuni,5,2 minggu lalu,Cocok buat ngopi bersama ayang tempatnya nyaman estetik topp🤩 …,,Tidak,1009 Palagan,63,cocok buat ngopi sama ayang tempat nyaman estetik topp,positif,2,0,2
399,,Utami Kurniawati Astuti,5,2 minggu lalu,Tempat nongkrong yang nyaman🤟🚀 …,,Tidak,1009 Palagan,32,tempat nongkrong nyaman,positif,1,0,1
400,,citra puspa,5,2 minggu lalu,Syahdu,,Tidak,1009 Palagan,6,syahdu,positif,0,0,0
409,,Sarbinah Garden,5,2 minggu lalu,Kopi nya enak . Pelayanan nya juga ramah,,Tidak,1009 Palagan,40,kopi enak layan ramah,positif,2,0,2
412,,S F,5,2 minggu lalu,All good. Makanan dan ambiencenya ok buat ngumpul lama bareng temen.,,Tidak,1009 Palagan,68,good makan ambiencenya buat ngumpul lama bareng temen,positif,1,1,0
413,,Nafanka Askayandha,5,2 minggu lalu,okeee bangettt manteppp kalcer abiesttttt,,Tidak,1009 Palagan,41,banget mantap kalcer abiest,positif,1,0,1
415,,sinta nurmala,5,2 minggu lalu,Tempatnya bagus bngttt,,Tidak,1009 Palagan,22,tempat bagus bngt,positif,1,0,1
416,,Nadiah Amanah,5,2 minggu lalu,"pelayanan ramah, kopinya enak bangettttt",,Tidak,1009 Palagan,40,layan ramah kopi enak banget,positif,2,0,2
419,,Luqy Cintya,5,2 minggu lalu,Tempatnya bagus dan nyaman. ACnya dingin,,Tidak,1009 Palagan,40,tempat bagus nyaman acnya dingin,positif,2,1,1
430,,Daniel Els,5,2 minggu lalu,Skena habis,,Tidak,1009 Palagan,11,skena habis,positif,0,0,0
433,,Henokh ac,5,2 minggu lalu,estetis,,Tidak,1009 Palagan,7,estetis,positif,0,0,0
437,,Zakiyaauliya Sari,5,2 minggu lalu,bagus layanan nya ramah,,Tidak,1009 Palagan,23,bagus layan ramah,positif,2,0,2
440,,Dias Tessa,5,3 minggu lalu,bagustt,,Tidak,1009 Palagan,7,bagustt,positif,0,0,0
448,,Steve,5,3 minggu lalu,Oke banget tempatnya,,Tidak,1009 Palagan,20,banget tempat,positif,0,0,0
449,,ADELIA ANGGRAENI,5,3 minggu lalu,cafenya baguss dan pelayanan oke,,Tidak,1009 Palagan,32,cafenya baguss layan,positif,0,0,0
451,,Rengganisindri Tanjungsupangat,5,3 minggu lalu,"Stafnya ramah banget, top banget.",,Tidak,1009 Palagan,33,staf ramah banget bagus banget,positif,2,0,2
452,,Lusi Erlani,5,3 minggu lalu,Mantappp,,Tidak,1009 Palagan,8,mantap,positif,1,0,1
453,,Melvi Davina,5,3 minggu lalu,Mantappp,,Tidak,1009 Palagan,8,mantap,positif,1,0,1
456,,Resty Rindy,5,3 minggu lalu,"Oke semuaaaa, chill buat nongki 😍",,Tidak,1009 Palagan,33,semua chill buat nongki,positif,0,0,0
458,,Abdul Rahman,5,3 minggu lalu,Tempat nya bagus mas mas nya ramah dan baik,,Tidak,1009 Palagan,43,tempat bagus ramah baik,positif,3,0,3
459,,Khoirunisa Fadia,5,3 minggu lalu,tempat yang bagus untuk nongkrong!!,,Tidak,1009 Palagan,35,tempat bagus nongkrong,positif,1,0,1
460,,Vira Amanda,5,3 minggu lalu,"Nyaman buat nongki, spot foto bagusbagus, harga affordable",,Tidak,1009 Palagan,58,nyaman buat nongki spot foto bagusbagus harga affordable,positif,1,0,1
461,,Savira Nuraini,5,3 minggu lalu,"tempatnya bagus, makanannya enak, pelayanannya baik, ramah-ramah",,Tidak,1009 Palagan,64,tempat bagus makan enak layan baik ramah,positif,4,0,4
462,,Aya Astar,5,3 minggu lalu,"tempatnya bagus bnyk spot foto, minuman harga masih oke.",,Tidak,1009 Palagan,56,tempat bagus bnyk spot foto minum harga,positif,1,0,1
463,,Raihan Athala,5,3 minggu lalu,"Rasa kopi nya pas, tempatnya juga comfi dan layanan top lah pokoknya",,Tidak,1009 Palagan,68,rasa kopi tempat comfi layan bagus pokok,positif,1,0,1
464,,Syah Thoriq,5,3 minggu lalu,"Kopinya enak, suasana kedai kopinya oke, salah satu tempat nongkrong terbaik bersama teman di jogja lah",,Tidak,1009 Palagan,103,kopi enak suasana kedai kopi salah satu tempat nongkrong baik sama teman jogja,positif,2,0,2
468,,Dias Noor,5,3 minggu lalu,Estetis,,Tidak,1009 Palagan,7,estetis,positif,0,0,0
469,,Annisa Yulianti,5,3 minggu lalu,Enakk poll,,Tidak,1009 Palagan,10,enak banget,positif,1,0,1
472,,Nisrina Wulan,5,3 minggu lalu,"Recommend mix plates enak kentangnya, matcha cloud cheese cream pas bgt rasanya manis nya dapet gurihnya pas",,Tidak,1009 Palagan,108,recommend plates enak kentang matcha cloud cheese cream banget rasa manis dapet gurih,positif,3,0,3
473,,Tegiby,5,3 minggu lalu,"Makanannya enak, kopinya gk ada yang miss, matchanya juga besss",,Tidak,1009 Palagan,63,makan enak kopi miss matchanya,positif,1,0,1
474,,Rafid Herfindo,5,3 minggu lalu,Mantap,,Tidak,1009 Palagan,6,mantap,positif,1,0,1
477,,hafizh almubaroq,5,3 minggu lalu,rekomen buat kaum gen z,,Tidak,1009 Palagan,23,recommended buat kaum,positif,1,0,1
478,,nazula alfira,5,3 minggu lalu,tempt nya nyamann bangett,,Tidak,1009 Palagan,25,tempt nyamann banget,positif,0,0,0
479,,Oliv Agustina,5,3 minggu lalu,pelayanan baii,,Tidak,1009 Palagan,14,layan baii,positif,0,0,0
480,,Dhea Siti nurhidayah,5,Diedit 3 minggu lalu,"Tempat bagus,spot poto banyak",,Tidak,1009 Palagan,29,tempat bagus spot poto banyak,positif,1,0,1
482,,Davis Arkan Ramadhan,5,3 minggu lalu,"pelayanan baik,kaknya ramah",,Tidak,1009 Palagan,27,layan baik kak ramah,positif,2,0,2
489,,Yusuf Yusuf Waskito,5,3 minggu lalu,pelayanan cepat menunyaa enak dan relatif terjangkau,,Tidak,1009 Palagan,52,layan cepat menunyaa enak relatif jangkau,positif,2,0,2
490,,Erna Wati,5,3 minggu lalu,"tempatnya nyaman, instagramable, minumannya enak",,Tidak,1009 Palagan,48,tempat nyaman instagramable minum enak,positif,3,0,3
492,,Vanesha Putri,5,3 minggu lalu,"suasananya sejuk, enak juga buat nongkrong bareng temenn, minumannya enakk+rasanya pass
rekoment bgtt",,Tidak,1009 Palagan,102,suasana sejuk enak buat nongkrong bareng temenn minum enak rasa pass rekoment banget,positif,3,0,3
493,,Nabila Bila,5,3 minggu lalu,wenak pol ey disiniii,,Tidak,1009 Palagan,21,wenak sini,positif,0,0,0
494,,Bagus Hendrawan,5,3 minggu lalu,Secara keseluruhan Okeyy,,Tidak,1009 Palagan,24,cara seluruh okeyy,positif,0,0,0
495,,khariss,5,3 minggu lalu,menyenangkan 👍 …,,Tidak,1009 Palagan,16,senang,positif,1,0,1
497,,Muhammad Ilham Alhazmi,5,3 minggu lalu,Asyikk Mantap 😊,,Tidak,1009 Palagan,15,asyikk mantap,positif,1,0,1
501,,Eko Yuswito,5,3 minggu lalu,bagus dan menarik bikin betah tempat nya,,Tidak,1009 Palagan,40,bagus tarik bikin betah tempat,positif,1,0,1
502,,Ella Ayuk,5,3 minggu lalu,"minumannya enakkk pelayanan bagus bgt ramah bgt GRO nyaaaa, suasananya nyaman juga banyak spot foto pokoknya pw bangetttt🖤🖤",,Tidak,1009 Palagan,123,minum enak layan bagus banget ramah banget suasana nyaman banyak spot foto pokok banget,positif,4,0,4
507,,riski,5,3 minggu lalu,atmosfer yang baik,,Tidak,1009 Palagan,18,atmosfer baik,positif,1,0,1
512,,Nita Galaxy,5,3 minggu lalu,cantik,,Tidak,1009 Palagan,6,cantik,positif,1,0,1
513,,revi riyanti,5,3 minggu lalu,tempatnya nyaman dan pelayanannya menyenangkan,,Tidak,1009 Palagan,46,tempat nyaman layan senang,positif,2,0,2
515,,Aisyah Desty,5,3 minggu lalu,"instagramable, untuk servicenya cepat
pegawai ramah-ramah",,Tidak,1009 Palagan,58,instagramable servicenya cepat pegawai ramah,positif,3,0,3
516,,Regita Pramesti,5,3 minggu lalu,"Suasananya oke banget, pelayanan okee bangett full servicee, makanan",,Tidak,1009 Palagan,68,suasana banget layan okee banget full servicee makan,positif,0,0,0
517,,nela,5,3 minggu lalu,tempaatnyaa baguss,,Tidak,1009 Palagan,18,tempaatnyaa baguss,positif,0,0,0
522,,Retnoningtyas Dwiastuti,5,3 minggu lalu,"tempatnya nyaman, pelayanan ramah, minuman nya enak, spot foto2 nya oke bgttt",,Tidak,1009 Palagan,77,tempat nyaman layan ramah minum enak spot foto banget,positif,3,0,3
525,,Asti Noor Aeni,5,3 minggu lalu,"worth to try buat foto"", estetik abiss <3",,Tidak,1009 Palagan,41,worth buat foto estetik abiss,positif,1,0,1
