clean_comment,char_length,word_count,sentiment_label,sentiment_score,confidence,prob_positive,prob_neutral,prob_negative
cahaya tuan,11,2,positive,0,0.81496304,0.81496304,0.049122084,0.13591488
kalo komen sesuai fakta,23,4,positive,0,0.55130994,0.55130994,0.075326554,0.3733635
bro kalo gak gitu mkdal bro,27,6,positive,0,0.63276553,0.63276553,0.17006125,0.19717322
1000 nyata,10,2,positive,0,0.98469573,0.98469573,0.010382215,0.0049220864
fakta banget,12,2,positive,0,0.9069785,0.9069785,0.0069808094,0.086040735
savage,6,1,positive,0,0.88428354,0.88428354,0.010498864,0.1052176
terang banget,13,2,positive,0,0.9909943,0.9909943,0.006223677,0.0027820393
fakta si,8,2,positive,0,0.896154,0.896154,0.017134009,0.08671202
terang fakta,12,2,positive,0,0.95903945,0.95903945,0.018042473,0.022918127
faktaaaaa bang,14,2,positive,0,0.6564688,0.6564688,0.022717822,0.32081336
bener sekalikalau pagi yg jaga lintas pegawai busway,52,8,positive,0,0.9542159,0.9542159,0.042644475,0.003139642
fakta 100,9,2,positive,0,0.488974,0.488974,0.056263737,0.4547623
fakta terang terang cahaya ilahi,32,5,positive,0,0.90011305,0.90011305,0.09596612,0.0039208476
konoha,6,1,positive,0,0.5513628,0.5513628,0.17585163,0.27278557
banget mending dr nangjap bjorka,32,5,positive,0,0.3687837,0.3687837,0.35678616,0.27443013
fakta maseh,11,2,positive,0,0.84149647,0.84149647,0.01805171,0.14045177
lingkung dukung,15,2,positive,0,0.78575397,0.78575397,0.063804686,0.15044133
oiiii jujur,11,2,positive,0,0.9847623,0.9847623,0.0132405795,0.001997128
dih klo ngomong suka bener,26,5,positive,0,0.9920608,0.9920608,0.0052446085,0.002694567
real lapang,11,2,positive,0,0.920031,0.920031,0.030875614,0.049093384
masukksana aja bayar ga heran jdinya bgini,42,7,positive,0,0.96341836,0.96341836,0.007571757,0.02900993
jujur banget,12,2,positive,0,0.9959188,0.9959188,0.0027705797,0.0013106131
bener bangetttt cuyyy,21,3,positive,0,0.99582446,0.99582446,0.0026510982,0.0015244368
benerr,6,1,positive,0,0.9914623,0.9914623,0.0034823983,0.0050552804
si abang kalo ngomong suka bener,32,6,positive,0,0.9946983,0.9946983,0.00385702,0.0014447998
iya,3,1,positive,0,0.80339086,0.80339086,0.19282055,0.0037886032
kelasss king,12,2,positive,0,0.9812088,0.9812088,0.0044582766,0.014332968
loh,3,1,positive,0,0.8238857,0.8238857,0.09284311,0.083271265
wkwkw,5,1,positive,0,0.9315686,0.9315686,0.020306794,0.04812459
nir bener,9,2,positive,0,0.9687108,0.9687108,0.005055577,0.026233692
bener bgt fakta,15,3,positive,0,0.9936272,0.9936272,0.0038223404,0.0025505098
komen kog suka bener sih,24,5,positive,0,0.8789077,0.8789077,0.0063880724,0.114704214
tpi kerja yg idam idam org calon mertua,39,8,positive,0,0.753404,0.753404,0.114443764,0.1321523
terang benderang,16,2,positive,0,0.89929223,0.89929223,0.060127508,0.040580247
wkwkwk benerrrr,15,2,positive,0,0.98559225,0.98559225,0.004502715,0.009905005
wow,3,1,positive,0,0.99365604,0.99365604,0.0042037764,0.0021401762
fakta real yg terjdi negri,26,5,positive,0,0.7687014,0.7687014,0.21708818,0.014210462
bener banget wkwkwkwkw pagi nemuin pagi2 pose atur lintas poto temennya menit jalan udah ga orang jam2 krusial orang2 berangkat sekolah kerja d,143,23,positive,0,0.8691381,0.8691381,0.09537427,0.03548761
up up up,8,3,positive,0,0.943847,0.943847,0.025676223,0.030476788
bgt liat yg foto abis pergi,27,6,positive,0,0.90555924,0.90555924,0.06531247,0.029128358
reaaaaall,9,1,positive,0,0.9910007,0.9910007,0.003176146,0.005823143
lulus s1 kalo polisi biar kerja bener,37,7,positive,0,0.9122142,0.9122142,0.05369816,0.03408758
biar masak,10,2,positive,0,0.5929719,0.5929719,0.20054708,0.20648094
ssssst,6,1,positive,0,0.9812556,0.9812556,0.0035113394,0.015233041
bener,5,1,positive,0,0.9955605,0.9955605,0.0031227863,0.0013166957
yg mrasa baca komen ino senyam senyum tp sdikit tir smoga bs baik hukum indonesia,81,15,positive,0,0.5763222,0.5763222,0.14091161,0.28276616
kalo ngomong bener si,21,4,positive,0,0.9713841,0.9713841,0.014848129,0.013767837
bener bet ihhhh,15,3,positive,0,0.96087193,0.96087193,0.007864356,0.03126379
iya wkwkw,9,2,positive,0,0.78758013,0.78758013,0.19393545,0.018484488
terinakasih,11,1,positive,0,0.9640558,0.9640558,0.031242978,0.0047011976
alhamdulillah,13,1,positive,0,0.9892729,0.9892729,0.009340183,0.0013868307
anjroottt bner banget,21,3,positive,0,0.773086,0.773086,0.0070044813,0.21990949
benerr lagi,11,2,positive,0,0.96452266,0.96452266,0.014420694,0.021056594
gitu,4,1,positive,0,0.7813819,0.7813819,0.029027574,0.1895905
real 1000,9,2,positive,0,0.89169973,0.89169973,0.055590395,0.052709945
masokkk,7,1,positive,0,0.5414322,0.5414322,0.0154764,0.44309133
polisi jujur,12,2,positive,0,0.98459345,0.98459345,0.0078754695,0.007531058
fakta pribadi alami,19,3,positive,0,0.88316226,0.88316226,0.11502717,0.0018105756
bener bener dah bjirka,22,4,positive,0,0.98858404,0.98858404,0.007831493,0.0035844676
lucu bgt,8,2,positive,0,0.9957871,0.9957871,0.002023007,0.002189944
kaumrebahanmerapat9748 banget,29,2,positive,0,0.9524578,0.9524578,0.04401227,0.0035300357
priiiiiiiiiiiiiiiiiiiittttttttttt,33,1,positive,0,0.95952696,0.95952696,0.013156794,0.027316319
sandio9e8o cuapek deeh,22,3,positive,0,0.97576004,0.97576004,0.020991988,0.003247941
denimallik8943 hahhh lucu lu dro,32,5,positive,0,0.90341103,0.90341103,0.07420679,0.022382123
typing sii keren bang telegram wkkwkwkk,39,6,positive,0,0.99265575,0.99265575,0.0039979103,0.003346354
nama anak pramuka ngerti teknologia ajar tahan hidup dg andal komunitas pramuka idn,83,13,positive,0,0.7888645,0.7888645,0.13627662,0.074858956
wkwkwkw,7,1,positive,0,0.5560291,0.5560291,0.15277044,0.29120046
mancing termul gorong gampang bgt bukti nongol buzzer termul,60,9,positive,0,0.8608281,0.8608281,0.097525924,0.041645925
wkwkwkwkwk komen lucu banget bangg gerrr lgi klo pake bahasa indonesia kayak perintah bjorka tangkap bjorka etik,112,17,positive,0,0.62858164,0.62858164,0.016399404,0.355019
pegasus,7,1,positive,0,0.67541474,0.67541474,0.07137823,0.25320703
untung bjorka vidio atas simpul kalo bjorka main karna uang,59,10,positive,0,0.76406914,0.76406914,0.19404659,0.041884307
untung nya pensiun jabat aktif aparat aktif untung nya,54,9,positive,0,0.9329045,0.9329045,0.054939758,0.012155827
wkwkwkwk kocak,14,2,positive,0,0.9349515,0.9349515,0.005159108,0.0598894
berhayal,8,1,positive,0,0.6180409,0.6180409,0.032258406,0.34970072
untung byorka,13,2,positive,0,0.99096984,0.99096984,0.008297478,0.0007326361
nice,4,1,positive,0,0.99225736,0.99225736,0.0034634948,0.0042791176
bayar si bjorkakan motif nya uang simpel,40,7,positive,0,0.5630924,0.5630924,0.2947464,0.14216127
pojok kek deh ketawa bjorka singgasana,38,6,positive,0,0.88764405,0.88764405,0.10969908,0.0026569632
pinter gak main judol looollll,30,5,positive,0,0.75472736,0.75472736,0.005364867,0.23990779
jerapahzbetul,13,1,positive,0,0.96169746,0.96169746,0.016292674,0.022009857
nangimhanang3x,14,1,positive,0,0.6167056,0.6167056,0.11339101,0.26990345
panduabpr amat gw 100 org main judol 80 nya bapak2 jir gw udah usaha ngeliatin kerja judol seenggaknyan 2 org ank muda umur 20 23 an udah renti main kalo bapak2 susah banget jir inti kalo persentase masyarakat banyak gen z milenial udah lumayan edukasi kalo lingkungn gw yah,274,49,positive,0,0.78339076,0.78339076,0.013610603,0.20299862
hussssssss,10,1,positive,0,0.96798164,0.96798164,0.003749453,0.028268995
makasih bro kata2nya buah bahan kaos,36,6,positive,0,0.75700474,0.75700474,0.23718746,0.005807833
bang udah bangg goreng wkwkw,28,5,positive,0,0.5495528,0.5495528,0.15590796,0.2945392
wwweeeeehh menyalaaa,20,2,positive,0,0.78074604,0.78074604,0.019167544,0.20008639
jujur bujur gin brok,20,4,positive,0,0.8987868,0.8987868,0.041986804,0.059226405
cerdas bet abang ni trimakasih bang wakil,41,7,positive,0,0.9097484,0.9097484,0.067803346,0.022448316
cocok tulis truk,16,3,positive,0,0.96848094,0.96848094,0.026558036,0.0049611
njiirr,6,1,positive,0,0.54450303,0.54450303,0.012021485,0.4434755
mantap,6,1,positive,0,0.9971998,0.9971998,0.0020699073,0.0007303737
love bjorka,11,2,positive,0,0.98473686,0.98473686,0.013572304,0.0016908636
makasih dukung gw,17,3,positive,0,0.9861151,0.9861151,0.012026655,0.0018582419
haha,4,1,positive,0,0.9218841,0.9218841,0.013439199,0.06467663
sijoko,6,1,positive,0,0.5720061,0.5720061,0.18687958,0.24111436
betulll,7,1,positive,0,0.99109054,0.99109054,0.0052700005,0.003639551
daya,4,1,positive,0,0.72575927,0.72575927,0.04486875,0.22937201
se7,3,1,positive,0,0.57384765,0.57384765,0.39830133,0.02785102
jujur jomblo,12,2,positive,0,0.90255773,0.90255773,0.008144043,0.08929819
revanoficial1292 wahahahaha,27,2,positive,0,0.877639,0.877639,0.090055585,0.032305438
sumpah ngakak sakit perut ketawa om ded nular benar2 puas bgt ketawa nya,72,13,positive,0,0.9948862,0.9948862,0.0022800444,0.0028337424
thumbnailnya lucu bgt sumpah darkkk,35,5,positive,0,0.99585634,0.99585634,0.0022832113,0.0018604237
asli dah,8,2,positive,0,0.99318236,0.99318236,0.003900998,0.00291659
jd keinget film accountant2 yg anak autis tp hebat hacker,57,10,positive,0,0.906452,0.906452,0.026188677,0.06735924
tunjuk hihihi,13,2,positive,0,0.9090367,0.9090367,0.062530704,0.028432697
samma,5,1,positive,0,0.97203267,0.97203267,0.021164149,0.0068031563
iya ngakak bnget bikin akun nama prabowo presiden wkwkwk,56,9,positive,0,0.5264241,0.5264241,0.041187085,0.43238884
lu kocak,8,2,positive,0,0.9836264,0.9836264,0.0024411792,0.013932414
daengriyung1892 bang bjorka mah gampang nyari duit makan minum ngpain pikir kesana,82,12,positive,0,0.6090035,0.6090035,0.3549209,0.036075577
anak bangsa jadi scurity cyber indonesiatenyata anak indonesia pintar2,70,9,positive,0,0.94787365,0.94787365,0.039970607,0.012155667
waduhhh podcast chaotic dalem banget deddy kayak santai tanya nusuk topik gila sih anak punk sampe bjorka bahas wkwkwk lucu iya mikir iya pokok episode campur aduk nagih banget tonton sampe habis,195,32,positive,0,0.9775081,0.9775081,0.0036555626,0.018836316
programmer erti betapa sistem aplikasiwebsite indonesia gampang retas web perintah orang kompeten incar gaji coba kalo buka lowong kerja modal kenal kompeten bidang,164,23,positive,0,0.8023403,0.8023403,0.1515045,0.046155185
kek udh 2 deh jadi,18,5,positive,0,0.5850436,0.5850436,0.3820134,0.032942947
10 0 bang wkwkwkwk kalo interpol gerak gw percaya,49,9,positive,0,0.67162305,0.67162305,0.22128735,0.107089624
kocak,5,1,positive,0,0.99398416,0.99398416,0.00187455,0.0041412627
kalo maen bola rental dah more and more and more,48,10,positive,0,0.7509006,0.7509006,0.23964852,0.0094509255
udh 20 bng,10,3,positive,0,0.6821631,0.6821631,0.24296726,0.07486959
bener banget,12,2,positive,0,0.996051,0.996051,0.0028553982,0.001093551
tepuk tangan cuuiihh,20,3,positive,0,0.9866008,0.9866008,0.007342504,0.0060567167
ketangs bjirka,14,2,positive,0,0.5638684,0.5638684,0.16100194,0.27512965
iya kalem,9,2,positive,0,0.92156416,0.92156416,0.07166755,0.0067682825
waismuvie1 bang beliau sarkas loh,33,5,positive,0,0.9258772,0.9258772,0.06828719,0.005835559
solidupvc,9,1,positive,0,0.76869905,0.76869905,0.22387816,0.0074228058
selamat lolot prestasi baru,27,4,positive,0,0.957014,0.957014,0.03673305,0.0062528313
layan tulus hati biaya pungut biaya,35,6,positive,0,0.86617404,0.86617404,0.06902334,0.064802624
bapak2 pramuka emang cocok main api unggun,42,7,positive,0,0.984807,0.984807,0.014155797,0.001037211
penjinakboommmm cocok boss,26,3,positive,0,0.9947444,0.9947444,0.0026962794,0.0025592358
wkwk bener,10,2,positive,0,0.9911068,0.9911068,0.005817682,0.0030755894
ngopi zuzu kayak,16,3,positive,0,0.9384888,0.9384888,0.05433254,0.0071786647
webnya gampang banget deface,28,4,positive,0,0.9890511,0.9890511,0.007406555,0.0035424363
web perintah aplikasi cuan aman cepat,37,6,positive,0,0.97574735,0.97574735,0.022470322,0.0017823854
wuanjay hahahha,15,2,positive,0,0.99273634,0.99273634,0.003847438,0.0034162658
hahahahahaha sumpah gokil komen lo bang gw ketawa ampe nang,59,10,positive,0,0.8989565,0.8989565,0.009490903,0.09155259
muhrim,6,1,positive,0,0.5889216,0.5889216,0.24119656,0.16988187
puncak komedi polri cuakkkxxkxk,31,4,positive,0,0.9665873,0.9665873,0.008271136,0.025141567
gue pikir video seru seru,25,5,positive,0,0.99181867,0.99181867,0.005910063,0.0022713337
bro teguh narasumber yg asik jelas logic serius tpi vibe nya santuy,67,12,positive,0,0.53987384,0.53987384,0.45488226,0.005243832
bjorka ketawaaa ngakak pojok,28,4,positive,0,0.7732887,0.7732887,0.01500701,0.21170422
gaya bicara penyampaiann aa teguh enak banget,45,7,positive,0,0.9972274,0.9972274,0.0019757692,0.00079686363
niat ny mbil hati masarakat dngan nangkep bjorka eh an bjorka dn masarakat,74,13,positive,0,0.60882497,0.60882497,0.18334994,0.20782505
puncak,6,1,positive,0,0.9657052,0.9657052,0.023675036,0.010619835
cuuaaakkkkkkk,13,1,positive,0,0.98953795,0.98953795,0.003484956,0.0069770976
lucu asli,9,2,positive,0,0.9962261,0.9962261,0.0015659934,0.002208012
bener bet,9,2,positive,0,0.99277216,0.99277216,0.0028048328,0.0044230213
mudah aja kalo n,16,4,positive,0,0.9692267,0.9692267,0.026811287,0.00396203
tau bjorka yg lucu om ded ngobrol orang kemaren om ded aaja gak tau,67,14,positive,0,0.55971545,0.55971545,0.3268591,0.11342547
anak it emang gitu gaya nya bang,32,7,positive,0,0.9595351,0.9595351,0.0065402756,0.03392468
clay,4,1,positive,0,0.7957776,0.7957776,0.12334308,0.080879316
felniode nampaknya tp kayak outsource project lumayan banget banget klo mahasiswa yg kuliah ngerjain ginian,107,15,positive,0,0.99118644,0.99118644,0.0044624573,0.0043510604
relevan,7,1,positive,0,0.83210206,0.83210206,0.029321719,0.13857621
paham maksud,12,2,positive,0,0.9610407,0.9610407,0.02218868,0.01677059
keren nya gak usaha nyapu aja buka,34,7,positive,0,0.96864367,0.96864367,0.0056620496,0.025694383
legend of zelda,15,3,positive,0,0.43726468,0.43726468,0.2515403,0.31119502
masuk akal,10,2,positive,0,0.9959424,0.9959424,0.0029482888,0.0011092356
klo uwang nya oke klo gada ngapain cape2,40,8,positive,0,0.4886965,0.4886965,0.027901113,0.48340237
lucu polisi,11,2,positive,0,0.9897142,0.9897142,0.0024928746,0.007792909
satria dharma bijaksana,23,3,positive,0,0.7992015,0.7992015,0.18459491,0.016203593
familiar gaya bicara alun tata bahasa hmm,41,7,positive,0,0.9531891,0.9531891,0.036582015,0.0102288835
istimewa,8,1,positive,0,0.99692565,0.99692565,0.0019203785,0.001154013
pinter marketing nya,20,3,positive,0,0.9960296,0.9960296,0.0024623666,0.0015080838
akunaid,7,1,positive,0,0.78430516,0.78430516,0.01671022,0.19898455
temennya,8,1,positive,0,0.9350261,0.9350261,0.059038572,0.0059353863
temenya,7,1,positive,0,0.9565422,0.9565422,0.040476307,0.0029815598
tarrantsde,10,1,positive,0,0.6394538,0.6394538,0.27635008,0.084196016
wkwkwkwkwk gw ngakakkkk,23,3,positive,0,0.9191207,0.9191207,0.014553554,0.06632577
walah,5,1,positive,0,0.8373002,0.8373002,0.017457517,0.14524227
om ded podcast ni org lidi kaya beliau jago baca karakter org2 jago baca fikiran org wkwk,89,17,positive,0,0.9675688,0.9675688,0.029632038,0.002799183
sy pikir bgitu,14,3,positive,0,0.8756631,0.8756631,0.060607906,0.06372904
gaamu ajak perintah tau trjadi bebas,36,6,positive,0,0.5624184,0.5624184,0.2295501,0.20803154
bang,4,1,positive,0,0.5511975,0.5511975,0.14678976,0.30201262
udh ga malu bang mah,20,5,positive,0,0.9500304,0.9500304,0.007156202,0.042813413
ayo ayo,7,2,positive,0,0.8968279,0.8968279,0.08835284,0.014819252
polri emg rekrut tim cyber bener2 ahli,38,7,positive,0,0.37130702,0.37130702,0.3130466,0.31564638
sosok tarik perhati indonesia keren banget sih orang 4,54,9,positive,0,0.9957417,0.9957417,0.002360183,0.0018982072
ajibb karna gak prestasi butuh kelas boosss,43,7,positive,0,0.62919766,0.62919766,0.008112487,0.3626898
7 sahabat amerika latin yg wisata malaysia pesona dg indah malaysia sumpah kelak anak cucu main bola timnas malaysia kisah 7 main waris,135,23,positive,0,0.97882324,0.97882324,0.018851269,0.002325513
anak umur 17 thn kelas 1 jurus pplg salah smk kenal indonesia cita2nya jd ahli cyber security,93,17,positive,0,0.79301023,0.79301023,0.19762492,0.0093648145
dr berita muncul tv gua udh nebak rakyat indonesia raya paham erti kerja polri wow amazingbravo tni,99,17,positive,0,0.953037,0.953037,0.03720647,0.009756511
anak2 yg asd autism spectrum disorder banyk mrk tingkat cerdas normal rata2 tingkat jenius mrk fokus kosentrasi yg daya tajam detail dg pola mrk sindrom savant kondisi dg ketrampiln bidang yg kontras dg batas mrk mrk ingat yg perhatiakn hnya hacker2 dr mrk dr kalang anak2 autis bnyk anak2 autis yg hafal al quran dg cepat cermat hnya dg dengar murottal subhanallah,365,62,positive,0,0.95006734,0.95006734,0.014572179,0.03536044
waow,4,1,positive,0,0.9665757,0.9665757,0.008346806,0.02507752
tul bjorka is a legend of zelda,31,7,positive,0,0.51507485,0.51507485,0.44464058,0.040284593
saaaaattttttttttttt,19,1,positive,0,0.93725765,0.93725765,0.01293983,0.049802423
jleb bgt,8,2,positive,0,0.97634023,0.97634023,0.0032733316,0.020386403
very funny,10,2,positive,0,0.9952767,0.9952767,0.0034400204,0.0012832774
ladusing gratis lo,18,3,positive,0,0.87391585,0.87391585,0.018130463,0.107953675
kl ngomong suka bener,21,4,positive,0,0.9941955,0.9941955,0.0044394615,0.0013650471
superal9 tulis nulis,20,3,positive,0,0.6166492,0.6166492,0.32602796,0.057322804
roti3m7g9b dapat heker manusia hati karna super hero bantu orang manusia yg hati nurani,87,14,positive,0,0.88101655,0.88101655,0.074890025,0.04409338
mudah gera bjorka uang,22,4,positive,0,0.84981835,0.84981835,0.053589128,0.09659241
superal9 ide bagus up,21,4,positive,0,0.9955183,0.9955183,0.0027808507,0.0017008099
durray13 bhuahahaha,19,2,positive,0,0.8036726,0.8036726,0.03162505,0.16470236
kyk film india nih naska nya,28,6,positive,0,0.7703865,0.7703865,0.20690726,0.022706179
enak spiderman gelantung tower,30,4,positive,0,0.99410594,0.99410594,0.0031032527,0.0027908466
anak ku uda 3 cita uda pngen panen,34,8,positive,0,0.92099375,0.92099375,0.073025756,0.0059805736
kalo sih bravo damkar hehe,26,5,positive,0,0.8925485,0.8925485,0.10356106,0.0038903928
menit 4620 dasar nya metodologi common sense praktisi kenal basic people process technology googling lengkap implementasi system mana yg pengaruh sih people canggih apa teknologi ketat apa process nya faktor people nya mumpuni back to basic aja common sense implementasi faktor process technology nya kuat imbang,312,46,positive,0,0.6221056,0.6221056,0.1466196,0.2312748
gw suka lo bro yaaaa rena gak prestasi butuh counter attack yg ngena yg hati,76,15,positive,0,0.9900503,0.9900503,0.007855123,0.0020945435
introgator polisi nya reng kalo introgator nya bagus tuh kena,61,10,positive,0,0.9910754,0.9910754,0.0045085647,0.004416037
sushi069 mudah,14,2,positive,0,0.9268831,0.9268831,0.07160963,0.0015071809
banyak nonton 47,16,3,positive,0,0.97835267,0.97835267,0.01792123,0.003726015
gak kaget konoha bg,19,4,positive,0,0.98997796,0.98997796,0.003691193,0.0063309446
kali hati mas sampe terimingi harga murah kalo dlu gtu jawab,60,11,positive,0,0.8842925,0.8842925,0.04367959,0.07202794
ladusin bangga liat mu,22,4,positive,0,0.9760523,0.9760523,0.004761878,0.019185824
insyaallah,10,1,positive,0,0.9719568,0.9719568,0.026261045,0.0017821145
iya filling,11,2,positive,0,0.8099015,0.8099015,0.1838123,0.0062862365
drpd kau tidk lapor kau sudh ikhlas dng hilang motor hehe,57,11,positive,0,0.49610755,0.49610755,0.1702844,0.33360803
mampus syukurin,15,2,positive,0,0.9802194,0.9802194,0.005241502,0.014539118
guna bang,9,2,positive,0,0.8022785,0.8022785,0.1601968,0.037524737
wkwk ngakak banget video kalo hoki mah sih,42,8,positive,0,0.93725014,0.93725014,0.007054802,0.055695042
next part collab kasih 007,26,5,positive,0,0.68165094,0.68165094,0.31389216,0.004456894
mas teguh top,13,3,positive,0,0.9432617,0.9432617,0.055452738,0.0012855588
bjorka bjirlah,14,2,positive,0,0.54520047,0.54520047,0.18049075,0.2743088
individu bang ku,16,3,positive,0,0.66793746,0.66793746,0.29096326,0.04109921
fakta cerdas gak dr 10,22,5,positive,0,0.77950174,0.77950174,0.19361392,0.026884321
cerdas sdh kerja,16,3,positive,0,0.9909944,0.9909944,0.0057544657,0.003251047
ank ank cerdas direspon positif perintah lapang kerja,53,8,positive,0,0.86964464,0.86964464,0.1238713,0.0064840657
konten scatter tetep juara,26,4,positive,0,0.99429697,0.99429697,0.004158859,0.0015441612
ytta,4,1,positive,0,0.8888574,0.8888574,0.09119872,0.019943843
prittt,6,1,positive,0,0.97002304,0.97002304,0.01628247,0.013694469
up laah,7,2,positive,0,0.9795471,0.9795471,0.0123406425,0.008112378
covid aja bisnis,16,3,positive,0,0.54032916,0.54032916,0.22007738,0.2395935
bjirka yaa,10,2,positive,0,0.76435643,0.76435643,0.22767639,0.007967078
asli ngakak,11,2,positive,0,0.9912441,0.9912441,0.0021033613,0.0066525657
kejeburkya,10,1,positive,0,0.46461052,0.46461052,0.07582506,0.45956436
mang eak,8,2,positive,0,0.9801103,0.9801103,0.014885709,0.0050040158
fakta nya,9,2,positive,0,0.96640545,0.96640545,0.021128757,0.012465812
betullll bgtttt,15,2,positive,0,0.98747927,0.98747927,0.004768821,0.007751863
fakta wkwk,10,2,positive,0,0.44089767,0.44089767,0.13255063,0.4265517
2 lucu nangkep bjorka,21,4,positive,0,0.9148755,0.9148755,0.04551744,0.039607055
gak tau gak prestasi santai tp pedes,36,7,positive,0,0.99017805,0.99017805,0.0025029532,0.0073189368
suka bgt kalo ngobrolnya sm om hacker yg 1 yg aja pernh gw ulang2,65,14,positive,0,0.98429316,0.98429316,0.014082006,0.0016248436
bjorka yg asli lgi ketawa baca berita,37,7,positive,0,0.5377438,0.5377438,0.14033966,0.32191646
iyaa,4,1,positive,0,0.9801757,0.9801757,0.0183758,0.0014485857
muka nya kaya nya,17,4,positive,0,0.8680529,0.8680529,0.013497042,0.118450135
iyaa teguh yg undang,20,4,positive,0,0.935896,0.935896,0.061290927,0.002813064
plotwis nya bjorka nya,22,4,positive,0,0.87496054,0.87496054,0.1144786,0.010560839
brianramahesa abang cerdas,26,3,positive,0,0.98277515,0.98277515,0.012700505,0.0045243558
mu udah menang kwkwkw,21,4,positive,0,0.8903775,0.8903775,0.016220044,0.09340238
bjorka angkat menkominfo hebat,30,4,positive,0,0.7835555,0.7835555,0.21357009,0.0028743919
kerenn ngmong narasumber nyaa bikin betah dengerinn hebatt mas,62,9,positive,0,0.9949404,0.9949404,0.0021710335,0.002888516
wih discord servernya bang,26,4,positive,0,0.9580406,0.9580406,0.0303613,0.011598064
poin ka,7,2,positive,0,0.7549478,0.7549478,0.23102443,0.014027798
bener bang jogja banget anak pinter it hacking temen gua aja rela kuliah sana,77,14,positive,0,0.99074614,0.99074614,0.003969579,0.0052842987
gas bg lapakwd,14,3,positive,0,0.7088986,0.7088986,0.2431316,0.04796977
anak2 special cerdas2,21,3,positive,0,0.99285465,0.99285465,0.0055948747,0.0015504968
kocak polklu gitu pol stan up komedi,36,7,positive,0,0.8267255,0.8267255,0.014220427,0.15905412
simpul klo indonesia anak anak muda milik talenta it namum,58,10,positive,0,0.94279826,0.94279826,0.050973475,0.006228179
bangga polri kondisi percaya masyarakat moga polri real nangkap hacker sungguh,78,11,positive,0,0.48628676,0.48628676,0.046804525,0.4669087
stiap aspek perintah gk mikin org pinter jago yg famili krn validasi yg mumpunin,80,14,positive,0,0.77674514,0.77674514,0.081335224,0.14191972
iya bener kaya cit ff garena gringo orang brazil butuh sus,58,11,positive,0,0.73666435,0.73666435,0.23183744,0.03149821
serius komunitas hacker orang nya asik asik 20122013 tuh join salah grup blackhat isi bener bener orang ga pelit ilmu ilmu yg diajarin kasih catat bijak negara aktivitas nya pantau anak komunitas,195,32,positive,0,0.9486433,0.9486433,0.025738407,0.025618292
1900 haha hihi,14,3,positive,0,0.6781787,0.6781787,0.2743733,0.04744797
kalimat video tulus penuh makna 855yang suka bikin tonton nyaman gak hakim sukses channel,89,14,positive,0,0.97091484,0.97091484,0.026722778,0.0023624592
obrol om teguh chuaakkssnya wkwkw,33,5,positive,0,0.73005897,0.73005897,0.23272677,0.03721426
sragam coklat emang lawak kalo cari mukabangun woy jangn enak jdi polisi tidur mulu,83,14,positive,0,0.5561167,0.5561167,0.00641714,0.43746617
gak gimic lo beneran hapal lagu gemesssss,41,7,positive,0,0.99312216,0.99312216,0.0020306143,0.004847167
