clean_comment,char_length,word_count,sentiment_label,sentiment_score,confidence,prob_positive,prob_neutral,prob_negative
bener banget ngalamin lari pagi mobil polisi mberhentiin sy salah eeee tau suruh motoin doang,93,15,negative,2,0.9908003,0.0028173637,0.0063823587,0.9908003
bener sih patroli rutin cegah jahat lha cegah kagak kalo warga nangkep maling dibebasin,87,14,negative,2,0.99210984,0.001803448,0.0060867793,0.99210984
bjorka yg level dewa bandar judol yg mata aja gak tangkap,57,11,negative,2,0.9943258,0.0019018102,0.0037723652,0.9943258
liat polisi poto2 doang perut buncit2,37,6,negative,2,0.9937376,0.00069013925,0.0055723083,0.9937376
oalah wkwkwk,12,2,negative,2,0.9584934,0.02751274,0.013993838,0.9584934
faktaa alm kakak bayi rumah persis warung soto pake live musik ganggu banget volume keras pol nyanyi mabok udah tegur gak ngaruh lapor rt rtnya kakak warung lapor babinsa suruh kantor polsek sampe polsek polisi bilang terang2an duit mas ngurusin urus begitu anjeng,264,43,negative,2,0.98853326,0.001745761,0.00972104,0.98853326
banget polri raport nya metah bingit,36,6,negative,2,0.9940084,0.004085729,0.0019058696,0.9940084
yah cermin mayoritas rakyat indonesia wkwkwkkw,46,6,negative,2,0.9826298,0.008177414,0.009192798,0.9826298
pelan pelan bang,16,3,negative,2,0.4711535,0.29691938,0.23192714,0.4711535
posisi gonjang ganjing,22,3,negative,2,0.9871603,0.005296084,0.007543613,0.9871603
oknum indonesia bg hahahaha,27,4,negative,2,0.9965557,0.00076674606,0.002677585,0.9965557
kam masyarakat kerja aja cuman 8jam 2jam lapang pagi doank itu gk 7x24jam 2x dlm minggu parah bed,97,18,negative,2,0.99640685,0.0013043353,0.0022887606,0.99640685
polisi gitu ga oknum,20,4,negative,2,0.98377997,0.006955159,0.009264935,0.98377997
ko bener sihb,13,3,negative,2,0.979354,0.015182989,0.0054630153,0.979354
banget makan gaji buta doang kerja,34,6,negative,2,0.99744797,0.0007903691,0.0017617111,0.99744797
gilir g pke helm pas tikung udah bae yg nyegat nilang,53,11,negative,2,0.56350523,0.002295021,0.43419978,0.56350523
iya hedeh hedeh,15,3,negative,2,0.9954282,0.0024849253,0.0020868054,0.9954282
hujan terang fakta,18,3,negative,2,0.82912344,0.13830072,0.03257582,0.82912344
tilang dimintain uang 250k yg hebat lgi pungli besarbesaran ramai yg dalam kantor polresta pangkal pinang bangka belitung kantor loh luar korban 2030 org hitung aja tuh 25030 org polisi yg libat jg bnyak 10 org jdi oknum tpi emg polisi nya polresta pangkal pinang provinsi pulau bangka belitung,294,49,negative,2,0.97161037,0.0039558653,0.024433771,0.97161037
polisi nyrik heker tukang intimidasi beking usaha top 1 dunia,61,10,negative,2,0.85311925,0.01974114,0.12713961,0.85311925
iya bener awas bang takut tukang nasi goreng rumah bawa beceng,62,11,negative,2,0.99450797,0.0019028635,0.0035892332,0.99450797
priiittt tunjuk sim stnk salah fakta,36,6,negative,2,0.99373686,0.0005529546,0.00571022,0.99373686
hilang 2 kali kendaran kaga tindak bertahuntahun ujung ikhlas males lapor,73,11,negative,2,0.99543756,0.000620973,0.0039415057,0.99543756
silau bang,10,2,negative,2,0.9971529,0.0016503774,0.0011966536,0.9971529
asumsi cerita orang,19,3,negative,2,0.69905216,0.08940369,0.21154411,0.69905216
yg tangkep orang yg rugi bandar judol,37,7,negative,2,0.9972218,0.0012751673,0.0015030246,0.9972218
hilang bu hong kong hilang dopet uang hp ktp hong kong atm hk lapor polisi hong kong kasih kertas lapor hilang ktp atm bikin ktp atm polisi cari tas yg hilang tinggal yg hilang bu bodoh km,188,37,negative,2,0.9932601,0.0007078199,0.0060321046,0.9932601
nama robot nih,14,3,negative,2,0.94145447,0.0016388805,0.05690658,0.94145447
awok wadidaw,12,2,negative,2,0.97664034,0.014760926,0.008598739,0.97664034
udah rahasia ga ubah,20,4,negative,2,0.92411226,0.05967238,0.01621531,0.92411226
lapor polisi adik hilang 3 thn fakta nya polisi uang biar nyari,63,12,negative,2,0.9810899,0.00057996163,0.018330159,0.9810899
bikin surat hilang motor aja suruh bayar 25jt bulan puter2 kalo tindak lanjut paro harga motor,94,16,negative,2,0.7703791,0.001674413,0.22794652,0.7703791
gw nangkap maling lapor polisi2 jam suruh lepasin maling nya isilop maling 5jt biar lepas udh hancur negri,106,18,negative,2,0.99656653,0.00052802387,0.002905428,0.99656653
lapor ilang motor eh proses dah kayak ilang mobil,49,9,negative,2,0.98699445,0.0004134301,0.01259206,0.98699445
motor hilang temu ngambil palak sm kanit reskrim ank buah mnta duit rokok parah wes,83,15,negative,2,0.9886989,0.000593472,0.01070757,0.9886989
fakta yg tutup,14,3,negative,2,0.85201097,0.055416502,0.092572495,0.85201097
gw orang yg tuju kalo institusi polisi tni gak kapolri kapolrian,64,11,negative,2,0.95353836,0.0056964094,0.040765207,0.95353836
gua bang kena begal syukur ngga diapaapain cumn ambil doang motor nya anggota nya ngomong ko begal kaga saksi,109,19,negative,2,0.9974631,0.0006325298,0.0019042953,0.9974631
fakta polisi mh gitu 999 gausah oknum deh dah muak,50,10,negative,2,0.99715996,0.0014639035,0.0013761134,0.99715996
gilak gw penah fakta terang,27,5,negative,2,0.9905882,0.0019331692,0.007478578,0.9905882
elah pake jelas emang iya jadi yg udah2 skenario sandiwara contoh grebek cafe tilang tilang maling teriak maling tawur biar polisi olah kerja yg parah sih nyuruh orang ngedarin narkoba yg dampak tangkep orang yg penasaran narkoba,229,37,negative,2,0.99578995,0.0013566817,0.002853432,0.99578995
anak smp suruh motoin kalo pagi2,32,6,negative,2,0.6281746,0.0020398218,0.36978558,0.6281746
iya lgi anjirrr suruh motoin,28,5,negative,2,0.98269534,0.00089189084,0.016412726,0.98269534
nyata swperti cari kambing hitam,32,5,negative,2,0.9958134,0.0011642926,0.0030222486,0.9958134
akar,4,1,negative,2,0.8838069,0.07405841,0.042134654,0.8838069
yg diomongin baca gak yaa,25,5,negative,2,0.6551729,0.0062805368,0.33854663,0.6551729
jabarin borok,13,2,negative,2,0.99723285,0.00089297385,0.0018741846,0.99723285
ban nyata hmmm syulit,21,4,negative,2,0.99775034,0.000719683,0.0015299188,0.99775034
bobrok institusi yg bayar gaji masyarakat,41,6,negative,2,0.99713045,0.0010901381,0.0017793842,0.99713045
cocok makan gaji rakyat gak manfaat rakyat,42,7,negative,2,0.99094725,0.00777905,0.0012736755,0.99094725
jadi kantor polisi gr2 rumah temen maling tas dompet hilang surat2 temen bilang lapor surat hilang blablabla polisi blablabla temen administrasi polisi ah gak kayak temen iya maturnuwun and langkah jalan panggil pakpol pakpol mas mas pernae to rokoke permene gila gak sih administrasi gak pas udah tiba2 ngasih kode uang jajan orang kena musibah maling emang lawak banget si,374,60,negative,2,0.9856253,0.010164383,0.0042102938,0.9856253
ngoten gercep banget bang,25,4,negative,2,0.9865841,0.011236663,0.0021791814,0.9865841
polisi yg jujur hoegeng polisi tidur,36,6,negative,2,0.9948225,0.001862854,0.0033146788,0.9948225
gw rampok jg kasus sulit bpkb surat kendara curi mgurus habis 10 jt 1 mobil korban gila emang konoha mau dpt gaji kerja tidur malak orang mah udah jahat tp legal,161,31,negative,2,0.99609417,0.00069741806,0.003208372,0.99609417
temen gw kena narkobs ketangkep tiba2 bsoknya udah rumah iseng2 nebus surat lapor sbelum layang jaksa 100jt njiiir gilaaak emang bener mahfud urus hukum pintu utama polisi,171,27,negative,2,0.98637354,0.0032637438,0.0103626745,0.98637354
gak patroli malam gw liat tuh polisi patroli malam henti d depan2 karaoke mobil orang hampir bawan rokok,104,18,negative,2,0.78770685,0.0028920812,0.209401,0.78770685
iyah lagih,10,2,negative,2,0.6518461,0.21676941,0.13138448,0.6518461
udah bener2 bobrok emang yg oknum bejibun,41,7,negative,2,0.9970505,0.0016084888,0.0013409316,0.9970505
nahh ituu,9,2,negative,2,0.97924966,0.012465724,0.008284678,0.97924966
faktaaaaaa,10,1,negative,2,0.62075156,0.35203776,0.027210686,0.62075156
pingin masuk gua hacker ga akses,32,6,negative,2,0.9920696,0.000485037,0.0074453447,0.9920696
dapat preman bikin susah dunia usaha,36,6,negative,2,0.9976509,0.0005815418,0.0017675656,0.9976509
klo pengelihtan gua y karna kbiasaan k enak mngkin kyk sim byar pajek susah dri situ masyrakat nembak mw bikin cpt mudah dri situ enak jd kbiasaan bhkan bkn yg sepele,166,31,negative,2,0.5601398,0.35689127,0.08296893,0.5601398
jadi alami parah bro nabrak orang sampae patah tulang tanggungjawab korban biaya rs yg tanggungjawab laka lantas jasa raharja 2012 jasa raharja 10 jt saran kakak korban jasa raharja utk biaya rs aja tuju urus jasa raharja surat2 polsekpolres utk syarat jasa raharja biar cair dana urus surat polrespolsek bilang paro utk polsekpolres arti 5050 iya2 aja pikir urus selesai singkat dana jasa raharja turun polsek bawa amplop isi uang 500 ribu gak kasih 5050 dana korban obat dana sekian terima silah gak gak apa2 tinggal polsek rs urus obat korban alam hati2 urus jasa raharja gak pandai2 rugi,591,99,negative,2,0.9511531,0.0220148,0.026832132,0.9511531
buset lu bicara fakta sih,25,5,negative,2,0.9977931,0.000953741,0.0012532081,0.9977931
ariesbast balikin modal ngejar visi misi oknum,46,7,negative,2,0.9690485,0.0015437516,0.02940773,0.9690485
jir fakta wkwkwkwkwk,20,3,negative,2,0.9899423,0.0028589156,0.007198776,0.9899423
malem pergi bri atm 2 org parcok foto pintu masuk bank salah 1 nya fotoin eh gataunya satu adl tetangga kya cengok bgt sampe skrg klo ktmu shalat jamaah kya hindar gtu hehehe,174,33,negative,2,0.99230075,0.0031340655,0.004565199,0.99230075
yg gak terima termull,21,4,negative,2,0.98828506,0.0026817438,0.009033199,0.98828506
bobyenugraha3811 wkwk banget jirr kaya gue instansi perintah lurah ketua dpc ormas tukang palak lapak 1 camat isi dominan keluarga,130,20,negative,2,0.85171646,0.0018043143,0.14647923,0.85171646
pikir yg oknum cendrung yg gak baik teman teman,47,9,negative,2,0.9974988,0.0008044867,0.0016966851,0.9974988
fakta suami sya kerja jdi satpam polisi dteng bwa mobil fto kabur,65,12,negative,2,0.9765976,0.0008026533,0.022599801,0.9765976
loooh kaget,11,2,negative,2,0.9963666,0.0014559535,0.0021774676,0.9963666
rekrutmen pungli bayar lolos sampek kiamat ga kerja sesuai job desk nya temen sampe 500 jt lo kalo ngandelin gaji nutup uang 500 jt,131,24,negative,2,0.99505496,0.0006044728,0.0043405485,0.99505496
banjir faktaaa boss,19,3,negative,2,0.99184304,0.0056222174,0.0025346698,0.99184304
fakta ngak maju kantor sabtu minggu libur,41,7,negative,2,0.9953564,0.00069280056,0.0039507635,0.9953564
hahahahah yg selfi dlu abis cabut,33,6,negative,2,0.98517793,0.0009383838,0.013883619,0.98517793
kasih tau keluarga sanak saudara jgn daftar polisi benci rekrutmen yg daftar ribu gk dikit kn lu udh gk butuh polisi,116,21,negative,2,0.99480236,0.0013984073,0.0037992843,0.99480236
fakta kampung ku gitu pas rajia lalulintas yg bikin rugi masyarakat ayom nya,76,13,negative,2,0.9974595,0.0012592365,0.0012813509,0.9974595
gausah jauh2 bang bikin sim aja calo yg calo polisi sndiri wkwk,63,12,negative,2,0.9822855,0.0044329553,0.013281515,0.9822855
parah banget sih,16,3,negative,2,0.9980679,0.0008502043,0.0010819242,0.9980679
bayar bayar habis tanah habis sawah habis,41,7,negative,2,0.95348614,0.0049910974,0.041522786,0.95348614
slow bang fokus perut seragam coklat,36,6,negative,2,0.90185654,0.07738459,0.020758837,0.90185654
kk ortu lapor hilang gas udah 2x jadi maling udah ketangkep kak ortu lapor suruh bayar 24 jt lapor gila gak tuh gak tahun udah lepas tuh maling,143,28,negative,2,0.99340147,0.00065876805,0.0059397197,0.99340147
fakta pernh ngalamin jg busuk ladusing,38,6,negative,2,0.99798065,0.0007378506,0.0012815314,0.99798065
taat patung polisi polisi tidur aja kayak,41,7,negative,2,0.99504364,0.00095772056,0.0039986856,0.99504364
so coklat si adab sok etika,27,6,negative,2,0.9975612,0.00082945346,0.0016093273,0.9975612
udh bobrok institusi tp heran nya ngga malu kapolrinya aja ngga mundur,70,12,negative,2,0.99238294,0.005187577,0.0024294748,0.99238294
tau polisi tu aib,17,4,negative,2,0.997424,0.00054194225,0.002034122,0.997424
dokumen kasih orang dikerjain bayar negara,42,6,negative,2,0.99306834,0.0012386197,0.0056930445,0.99306834
bang yg real yg negri iniyg susah tmbh susah klo kena mslh hkum,63,13,negative,2,0.9786854,0.00762887,0.013685757,0.9786854
acab,4,1,negative,2,0.47557843,0.4298741,0.0945475,0.47557843
tenggelam laut fakta,20,3,negative,2,0.9958599,0.0018878743,0.002252186,0.9958599
sy lapor tipu jg gk urus cmk dapet kertas doang,47,10,negative,2,0.9923403,0.00059187994,0.0070677577,0.9923403
wkwkwk bener2 bang emang bener foto empat 10mnt habis ilang,59,10,negative,2,0.9797004,0.007824935,0.012474709,0.9797004
fakta biadab polisi,19,3,negative,2,0.996618,0.0007483143,0.002633696,0.996618
polisi gajih perintah perintah gajih rakyat bayar pajak kerja bayar,67,10,negative,2,0.9861486,0.002449954,0.011401452,0.9861486
kelazzzz kingg,14,2,negative,2,0.921509,0.065100245,0.013390779,0.921509
banget inget pas smk turun bus trus polisi pake motor polisi foto murid doang pergi,83,15,negative,2,0.9331221,0.0009559498,0.06592201,0.9331221
udah gak pantes bilang oknum,28,5,negative,2,0.9943492,0.0028426538,0.0028081806,0.9943492
waduhh benerr sekali,20,3,negative,2,0.9860692,0.011217333,0.002713426,0.9860692
polisi y planga plongo,22,4,negative,2,0.9515098,0.0012881128,0.047202166,0.9515098
basicly yg uang uang gaji tunjang dasar serakah tamak embel embel polisi lembaga yg kuat engga kalo uang udah ga kepake lembaga 2025 bullshit kalo polisi suka ngonten udah rusak citra,183,31,negative,2,0.9972324,0.0015116412,0.0012559721,0.9972324
buetull baget,13,2,negative,2,0.9946997,0.0032022526,0.0020980905,0.9946997
budaya yg udh turun turun senior tindas junior laku budaya kalo rubah benar2 orang2 yg super tangan besi,104,18,negative,2,0.9866246,0.009319604,0.004055839,0.9866246
curhat,6,1,negative,2,0.67834556,0.25388813,0.06776631,0.67834556
iya anjir kalo polisi kerja bener bener jam lapang oknum karna anggota tuh foto foto cabut wkwkwk,97,17,negative,2,0.9898449,0.002611723,0.007543323,0.9898449
hacker data bisnis bjorka skenario buruk rusak indonesia hitam bisnis putih indonesia tp yg duli indonesia,106,16,negative,2,0.99392325,0.0006338387,0.0054428694,0.99392325
dasar pilis emng pilis miskin akal sehat moral,46,8,negative,2,0.9980757,0.0007502312,0.0011739722,0.9980757
polres jogja polres bantul lapor kesana kasih kertas doang gak tindak,69,11,negative,2,0.79854417,0.0010792906,0.20037656,0.79854417
ril gw ketangkep motor gw ss lengkap knalpot standar inti standar pabrik situ kena 1jt nebus tu motor kantor gitu kalo biar gampang mending gin bilang selang tmn gw ketangkep pas balap liar taulahy klo motor kya gitu gmna kondisi ss motor g ad nebus tu motor cuman 500 anj,272,50,negative,2,0.9524768,0.007844258,0.039678887,0.9524768
fakta ngalamin kaya gitu musibah bantu palak banyak orang bisa gak isilop ikutikutan tempat polisi patroli pagi doang ferdi sambo polisi coreng pagi hari polisi jagajaga empat adem ayem kaha gin polisi luar kantor langka,220,35,negative,2,0.9926732,0.0043665688,0.0029602088,0.9926732
gua ken indo nepal part2 pas rakyat murka perintah ceburin dahh jabat publik nepal bar2 yg ngasih contoh ayo donk ceburin sambitin kali,135,23,negative,2,0.9933988,0.0013323115,0.0052688965,0.9933988
klo buka bisnis mending negeri aja deh ngapain harap yg regulasi kek taik,73,13,negative,2,0.99634284,0.0011049948,0.0025521277,0.99634284
gua kmrn tilang pintain duit bang nanya gua gua bilang 15 rb gamau wkwk nya yaa tau la wkwkwk,93,19,negative,2,0.8851044,0.0037131766,0.11118243,0.8851044
pangkat letnan duit,19,3,negative,2,0.98941576,0.0027504654,0.007833774,0.98941576
bang tpi narikin duit doang tempat2 kroke trus warung2 jual miras bukti sma temen2 s3ndiri silah cek,100,17,negative,2,0.8231686,0.0022398906,0.17459151,0.8231686
si coklat yg gak jujur oknum oknum buanyakkkkkkk alam lapor gelap sales 2017 sampe sekar ga tuh maju lapor kalo kantor duit duit yg lapor ga jalan,146,27,negative,2,0.9967014,0.0012363279,0.0020622422,0.9967014
ammarzonetv aman rumah hacker gk twrdetek,41,6,negative,2,0.89988256,0.010614483,0.08950293,0.89988256
skill 1 2 bang langsung skill 3 ulti gitu wkkwk,47,10,negative,2,0.7618576,0.06548569,0.17265667,0.7618576
sloganya ayom lindung yg bayar polisi cemen gak berani ama yg korup rakyat ngkp aniaya siksa rakyat udah tau laku polisi citra apa gak ngaruh rakyat fakta lapang sungguh kejam,175,30,negative,2,0.9977977,0.0012436653,0.00095866475,0.9977977
uang abang kerja gak uang abang malak,37,7,negative,2,0.992986,0.0010690734,0.0059448755,0.992986
mesti institusi polisi polisi polisi kayak pm kalo tni pisah polisi reguler satu kantor bikin mandiri lapor langsung pusat daerah koordinasi tugas awas tangkap tangan oknum polisi langgar hukum karirnya beda polisi masuk pensiun gak mutasi satu sama kayak pm benar2 penting enak satu beda tingkat daerah sama bnn pimpin tingkat bintang kayak propam kantor nyatu mutasi satu kalo tingkat polres pangkat kasat provos mentok iptuakp gimana tingkat perwira segan mesti tingkat polres pangkat kompol awas perwira satu penjahatpengusaha lobi 2 kali polisi reguler satu modal itu kalo kalo gak minimal ketar tir bikin lembaga independen isi ahli hukum integritas tugas kayak bpk audit tugas polisi 36 si propinsi lapor kapolri langsung presiden mumpung reformasi polisi,762,116,negative,2,0.86799306,0.04147395,0.09053301,0.86799306
polisi bang,11,2,negative,2,0.99336535,0.0012408856,0.005393733,0.99336535
emng polisi indonesia gitu bobrok,33,5,negative,2,0.9975036,0.0014889551,0.0010075072,0.9975036
biar bayar akhirat,18,3,negative,2,0.5176029,0.45441407,0.027983049,0.5176029
yg komen ga suka fix okunumnya wkwkwk engga oknum sewa bazerr masyarakat normal indonesia ga ga tuju fakta deatas,113,19,negative,2,0.99258524,0.0017190566,0.0056957314,0.99258524
yg usaha tau hasil uang yg kena musibah aja mobil laka lantas duitin klo ngurus mobil hrs tebus,95,18,negative,2,0.9785089,0.0017956018,0.019695545,0.9785089
bener banget bang foto2 jalan pagi rahasia kek gitu gaji kesel hilang motor lapor kena 250cuma kertas suruh tinggalin nomer hp sampe skrang gda kabar,149,25,negative,2,0.87079763,0.04046458,0.08873774,0.87079763
fakta sam jgk ngurus sim sngt2 dasar aparat konoha,50,9,negative,2,0.9910438,0.0014385873,0.0075175934,0.9910438
sampe negeri grogoti sm aparat,30,5,negative,2,0.9943762,0.00086870254,0.004755122,0.9943762
bener wkwk motor gua tuh ketemu 7 taun hilang pas suruh bayar anjir harga motor harga motor satria fu gua 2013 kisar 23 jt ilang gitu aja pas 7 nya suruh bayar 9 juta polisi kalo tau gitu beli bodong aja bpkb stnk tinggal ketok no mesin begitu otak kotor muncul ga lakuin sampe alhamdulillah dzalimi polisi kasih allah rumah mobil motor biji m moga kena dzalim biar allah balas nya doa usaha aja guyss,401,75,negative,2,0.94141394,0.040431134,0.018155007,0.94141394
l334e9l lulus an sma smk gk tau polisi orang dalem duit,55,11,negative,2,0.9916865,0.00092480925,0.0073886663,0.9916865
indonesia polisi nya,20,3,negative,2,0.62147164,0.24769121,0.13083719,0.62147164
daerah aja fomo fotoin doang trus diri tepi jalan,49,9,negative,2,0.9225941,0.0010729866,0.07633296,0.9225941
betul2 sampah instansi sdh mmg uang kuasa wanita tuju polisi,60,10,negative,2,0.99345,0.0008085796,0.005741499,0.99345
jadi pulang sekolah beli es warung makan pas ehhh 2 oknum polisi tni ngajak foto pegang es bungkus akan habis sosialisasi,121,21,negative,2,0.64632666,0.0022741077,0.35139924,0.64632666
darah daging bobrok,19,3,negative,2,0.9978229,0.0011442566,0.0010329348,0.9978229
nyata guna masyarakat polisi tidur karna bantu amplopin,55,8,negative,2,0.89767694,0.0181871,0.084135935,0.89767694
byorka palsu tangkap,20,3,negative,2,0.9880574,0.00064301194,0.0112996,0.9880574
aduh aduh aduh banjir fakta polisi gimana biar warga negara indonesia percaya pikir tuh budengan edar berita tangkap bjorka udah lucu didenger bjorka brojol bu ditangkep kemaren tuh,181,28,negative,2,0.96441334,0.028485011,0.007101609,0.96441334
tau sih bang,12,3,negative,2,0.81326663,0.112682186,0.07405119,0.81326663
sip bro dri pimpin kl yg mimpin orang yg mental bawahanya ikuttapi kl mimpi integritas yg jujur adil bawah yg buat tdak kurang,126,23,negative,2,0.78083664,0.12916976,0.089993566,0.78083664
nyata gak istilah oknum institusi sdh biang kerok kriminal,58,9,negative,2,0.9960491,0.0006495201,0.0033013455,0.9960491
buset post lgsg ribu fakta wkwkw selamat bro udh warga negara indonesia yg alam,79,14,negative,2,0.592892,0.33130333,0.07580463,0.592892
wihhh fakta nih,15,3,negative,2,0.6752153,0.22012551,0.10465923,0.6752153
tuju bang nunggu polsek jam 6 pagi jam 11 ngga titik terang lapor lempar a b c d lempar 4 orang beda telpon temen yg polda bantu temen yg yg mabes ngga set jam eh langsung kasatreskrimnya langsung telepon wkwkwk kocak institusi polisi negara konoha,248,45,negative,2,0.9553694,0.026775938,0.017854642,0.9553694
ngk bantaj fakta,16,3,negative,2,0.9895864,0.0038138712,0.006599785,0.9895864
polisi,6,1,negative,2,0.8032501,0.012449311,0.1843006,0.8032501
jujur iya banget nemuin isilop perempatan2 pagi pagi foto cabut,63,10,negative,2,0.7986141,0.0071784942,0.19420746,0.7986141
silau fakta,11,2,negative,2,0.9943904,0.00366315,0.0019464456,0.9943904
emang fakta sendiri gmn kerja polisi gerak uang luar negeri siang malam polisi patroli klu negara polisi lomba lomba besar perut,128,21,negative,2,0.986083,0.0021144291,0.011802543,0.986083
gada adul duit urus lancar gada gera,36,7,negative,2,0.9955011,0.0009011301,0.0035978148,0.9955011
lingkung beda bang,18,3,negative,2,0.69637233,0.27820125,0.025426503,0.69637233
emang kayak gitu damkar tangan lapor kirain satset jujur amanah kayak polisi gitu,81,13,negative,2,0.97048306,0.003599527,0.02591747,0.97048306
daerah tu kasi tau alamat biar mutasi oknum,43,8,negative,2,0.7882817,0.0011081162,0.21061018,0.7882817
konoha bang,11,2,negative,2,0.77014136,0.19097616,0.038882453,0.77014136
insiden deng brimob anggota brimob hasil visum lapor mabes brimob smpai gak tindak,82,13,negative,2,0.8213644,0.0010887501,0.17754681,0.8213644
ratus persen percaya institusi polisi ayom lindung telekkkkkkkk,63,8,negative,2,0.98971975,0.0025068473,0.007773453,0.98971975
polisi konoha cengi sm bijorka,30,5,negative,2,0.9229034,0.0008657691,0.07623079,0.9229034
fakta mobil kena tipu uud,25,5,negative,2,0.9938539,0.000521801,0.0056243506,0.9938539
cerita polisi mafia,19,3,negative,2,0.9949378,0.0007251069,0.0043370994,0.9949378
orang orang males nangkep bjorka anak pank bilang bjorka biar pura pura pinter ntrus rubah nama instansi baek ngimpi malas,122,20,negative,2,0.9977714,0.0011053152,0.0011232749,0.9977714
yg foto2 real banget ane 2x mintain ngefoto pas nongkrong deket simpang dateng langsung foto2 acting selesai foto langsung cus ilang,132,21,negative,2,0.46803886,0.40109614,0.130865,0.46803886
polisi film,11,2,negative,2,0.8889325,0.018298844,0.09276868,0.8889325
emis berseragamm,16,2,negative,2,0.90535545,0.053427078,0.041217495,0.90535545
real sih tugas hari lepas phl salur bantu covid dr kantor pos bawa uang milyaran takut kenapa2 vulici lokal yg ditugasin standby dateng aja tugas habis foto ruang trus pergi 10 menit,182,32,negative,2,0.8795251,0.0065844744,0.11389045,0.8795251
jokowi tereset counter berita gempar heboh publik kecoh lupa jokowi ulang sadar tarik kebelankang siap kalah gempar publik kecoh lupa banyak jokowi keluarga bentuk korupsi nya sesuai sop solo oligarki parcok bentuk manusia malu moral jahat masuk dalam sistem betapa bobrok tahan seret upaya apa kotor apa jokowi culas bohong tipu sen kanan belok kiri dalang dalang khianat nkri penting keluarga serta termul nya,411,64,negative,2,0.99500704,0.0031212452,0.0018716543,0.99500704
ciri khas kerja polisi india tukang rekayasa,44,7,negative,2,0.9671856,0.006813735,0.026000584,0.9671856
judol,5,1,negative,2,0.99366933,0.0050519747,0.0012787428,0.99366933
cocok gak cocok kenyataanya yg bela termul,42,7,negative,2,0.99694496,0.0013008745,0.0017541394,0.99694496
sandio9e8o ga liat berita bg yg rumor ijazah palsu jokowi,57,10,negative,2,0.977751,0.0007423699,0.021506662,0.977751
stres judol,11,2,negative,2,0.99801695,0.0009044039,0.0010786243,0.99801695
