clean_comment,char_length,word_count
elah pake jelas emang iya jadi yg udah2 skenario sandiwara contoh grebek cafe tilang tilang maling teriak maling tawur biar polisi olah kerja yg parah sih nyuruh orang ngedarin narkoba yg dampak tangkep orang yg penasaran narkoba,229,37
kalo komen sesuai fakta,23,4
bro kalo gak gitu mkdal bro,27,6
anak smp suruh motoin kalo pagi2,32,6
1000 nyata,10,2
bang udah bang,14,3
foto empat ngopi daerah,23,4
iya lgi anjirrr suruh motoin,28,5
nyata swperti cari kambing hitam,32,5
bg foto in bntr kh dokumen kirim grup polisi,44,9
bantu mabes gak mas yg mas banyak sih yg bawah ikat yaaah system ny,67,14
fakta banget,12,2
savage,6,1
tuju,4,1
terang banget,13,2
fakta si,8,2
akar,4,1
gua tuju gua pling mles yg nmnya isi lop,40,9
terang fakta,12,2
faktaaaaa bang,14,2
bener sekalikalau pagi yg jaga lintas pegawai busway,52,8
fakta 100,9,2
yg diomongin baca gak yaa,25,5
jabarin borok,13,2
ban nyata hmmm syulit,21,4
fakta terang terang cahaya ilahi,32,5
konoha,6,1
banget mending dr nangjap bjorka,32,5
abis foto2 kirim atas lapor abis tuh ngopi banget tuh liat kalo pagi2,69,13
bobrok institusi yg bayar gaji masyarakat,41,6
fakta maseh,11,2
lingkung dukung,15,2
cocok makan gaji rakyat gak manfaat rakyat,42,7
jadi kantor polisi gr2 rumah temen maling tas dompet hilang surat2 temen bilang lapor surat hilang blablabla polisi blablabla temen administrasi polisi ah gak kayak temen iya maturnuwun and langkah jalan panggil pakpol pakpol mas mas pernae to rokoke permene gila gak sih administrasi gak pas udah tiba2 ngasih kode uang jajan orang kena musibah maling emang lawak banget si,374,60
oiiii jujur,11,2
ngoten gercep banget bang,25,4
polisi yg jujur hoegeng polisi tidur,36,6
gw rampok jg kasus sulit bpkb surat kendara curi mgurus habis 10 jt 1 mobil korban gila emang konoha mau dpt gaji kerja tidur malak orang mah udah jahat tp legal,161,31
dih klo ngomong suka bener,26,5
temen gw kena narkobs ketangkep tiba2 bsoknya udah rumah iseng2 nebus surat lapor sbelum layang jaksa 100jt njiiir gilaaak emang bener mahfud urus hukum pintu utama polisi,171,27
gak patroli malam gw liat tuh polisi patroli malam henti d depan2 karaoke mobil orang hampir bawan rokok,104,18
iyah lagih,10,2
udah bener2 bobrok emang yg oknum bejibun,41,7
nahh ituu,9,2
faktaaaaaa,10,1
real lapang,11,2
pingin masuk gua hacker ga akses,32,6
masukksana aja bayar ga heran jdinya bgini,42,7
dapat preman bikin susah dunia usaha,36,6
klo pengelihtan gua y karna kbiasaan k enak mngkin kyk sim byar pajek susah dri situ masyrakat nembak mw bikin cpt mudah dri situ enak jd kbiasaan bhkan bkn yg sepele,166,31
jadi alami parah bro nabrak orang sampae patah tulang tanggungjawab korban biaya rs yg tanggungjawab laka lantas jasa raharja 2012 jasa raharja 10 jt saran kakak korban jasa raharja utk biaya rs aja tuju urus jasa raharja surat2 polsekpolres utk syarat jasa raharja biar cair dana urus surat polrespolsek bilang paro utk polsekpolres arti 5050 iya2 aja pikir urus selesai singkat dana jasa raharja turun polsek bawa amplop isi uang 500 ribu gak kasih 5050 dana korban obat dana sekian terima silah gak gak apa2 tinggal polsek rs urus obat korban alam hati2 urus jasa raharja gak pandai2 rugi,591,99
jujur banget,12,2
bener bangetttt cuyyy,21,3
benerr,6,1
si abang kalo ngomong suka bener,32,6
buset lu bicara fakta sih,25,5
ariesbast balikin modal ngejar visi misi oknum,46,7
gua cuman d gua polisi foto d empat foto foto empat d tinggal,61,13
lo yg patroli d cafe tuak,25,6
jir fakta wkwkwkwkwk,20,3
iya,3,1
kelasss king,12,2
malem pergi bri atm 2 org parcok foto pintu masuk bank salah 1 nya fotoin eh gataunya satu adl tetangga kya cengok bgt sampe skrg klo ktmu shalat jamaah kya hindar gtu hehehe,174,33
loh,3,1
ariesbast masuk suap anggap profesi abdi bisnis,47,7
yg gak terima termull,21,4
bobyenugraha3811 wkwk banget jirr kaya gue instansi perintah lurah ketua dpc ormas tukang palak lapak 1 camat isi dominan keluarga,130,20
pikir yg oknum cendrung yg gak baik teman teman,47,9
fakta suami sya kerja jdi satpam polisi dteng bwa mobil fto kabur,65,12
jokonarimo1899 ku dsini aja brrti,33,5
senin kamis kota foto foto,26,5
wkwkw,5,1
loooh kaget,11,2
boom empat kadang nyuruh kang ojek fotoin,41,7
rekrutmen pungli bayar lolos sampek kiamat ga kerja sesuai job desk nya temen sampe 500 jt lo kalo ngandelin gaji nutup uang 500 jt,131,24
nir bener,9,2
bener bgt fakta,15,3
asa tender ada cyber security,29,5
banjir faktaaa boss,19,3
komen kog suka bener sih,24,5
fakta ngak maju kantor sabtu minggu libur,41,7
hahahahah yg selfi dlu abis cabut,33,6
kasih tau keluarga sanak saudara jgn daftar polisi benci rekrutmen yg daftar ribu gk dikit kn lu udh gk butuh polisi,116,21
fakta kampung ku gitu pas rajia lalulintas yg bikin rugi masyarakat ayom nya,76,13
gausah jauh2 bang bikin sim aja calo yg calo polisi sndiri wkwk,63,12
empat polwannya make up tebal glowing glowing pagi aja empat,60,10
parah banget sih,16,3
tpi kerja yg idam idam org calon mertua,39,8
bayar bayar habis tanah habis sawah habis,41,7
bismillah assalamualaikum jual rumah dgn harga tanah kosong luas tanah 700m luas bangun 500mpersegi cocok usahadan rumah pribadi lokasi jln kedung baruk no 140sby timur persis indomart rumah ininol jln raya jual cuman harga tanah kosong sajasurat shm ready 14 kamar kos penuh hun,279,44
slow bang fokus perut seragam coklat,36,6
warga suruh ronda,17,3
real madrid,11,2
kk ortu lapor hilang gas udah 2x jadi maling udah ketangkep kak ortu lapor suruh bayar 24 jt lapor gila gak tuh gak tahun udah lepas tuh maling,143,28
hilang motor fu sepupu lapor polisi gubris kenal yg maling motor informasi lacak alhamdulilah ketemu berkat tunjuk hilang nya daerah yg ambil kelompok hilang nya du daerah kelompok yg ambil,189,30
fakta pernh ngalamin jg busuk ladusing,38,6
terang benderang,16,2
taat patung polisi polisi tidur aja kayak,41,7
wkwkwk benerrrr,15,2
so coklat si adab sok etika,27,6
turis asing aja lapor damkar hilang hp,38,7
udh bobrok institusi tp heran nya ngga malu kapolrinya aja ngga mundur,70,12
tau polisi tu aib,17,4
dokumen kasih orang dikerjain bayar negara,42,6
wow,3,1
bang yg real yg negri iniyg susah tmbh susah klo kena mslh hkum,63,13
fakta real yg terjdi negri,26,5
acab,4,1
bener banget wkwkwkwkw pagi nemuin pagi2 pose atur lintas poto temennya menit jalan udah ga orang jam2 krusial orang2 berangkat sekolah kerja d,143,23
tenggelam laut fakta,20,3
christytolissautboydenpard2794 beda preman beda seragam aja,59,6
sy lapor tipu jg gk urus cmk dapet kertas doang,47,10
wkwkwk bener2 bang emang bener foto empat 10mnt habis ilang,59,10
fakta biadab polisi,19,3
si si nya yak siang,19,5
up up up,8,3
polisi gajih perintah perintah gajih rakyat bayar pajak kerja bayar,67,10
analisanya,10,1
kelazzzz kingg,14,2
kasih understand king biar people people know,45,7
banget inget pas smk turun bus trus polisi pake motor polisi foto murid doang pergi,83,15
udah gak pantes bilang oknum,28,5
waduhh benerr sekali,20,3
polisi y planga plongo,22,4
basicly yg uang uang gaji tunjang dasar serakah tamak embel embel polisi lembaga yg kuat engga kalo uang udah ga kepake lembaga 2025 bullshit kalo polisi suka ngonten udah rusak citra,183,31
tempat seser beking tambang emas ilegal kayu ilegal sabung ayam kadang jaga pesta hajat pakai hibur tarif,105,17
buetull baget,13,2
budaya yg udh turun turun senior tindas junior laku budaya kalo rubah benar2 orang2 yg super tangan besi,104,18
curhat,6,1
bgt liat yg foto abis pergi,27,6
iya anjir kalo polisi kerja bener bener jam lapang oknum karna anggota tuh foto foto cabut wkwkwk,97,17
hacker data bisnis bjorka skenario buruk rusak indonesia hitam bisnis putih indonesia tp yg duli indonesia,106,16
reaaaaall,9,1
dasar pilis emng pilis miskin akal sehat moral,46,8
fakta polri guna habis anggar negara malak masyarakat,53,8
jngn bang,9,2
polres jogja polres bantul lapor kesana kasih kertas doang gak tindak,69,11
ril gw ketangkep motor gw ss lengkap knalpot standar inti standar pabrik situ kena 1jt nebus tu motor kantor gitu kalo biar gampang mending gin bilang selang tmn gw ketangkep pas balap liar taulahy klo motor kya gitu gmna kondisi ss motor g ad nebus tu motor cuman 500 anj,272,50
fakta ngalamin kaya gitu musibah bantu palak banyak orang bisa gak isilop ikutikutan tempat polisi patroli pagi doang ferdi sambo polisi coreng pagi hari polisi jagajaga empat adem ayem kaha gin polisi luar kantor langka,220,35
reformasipolri,14,1
lulus s1 kalo polisi biar kerja bener,37,7
gua ken indo nepal part2 pas rakyat murka perintah ceburin dahh jabat publik nepal bar2 yg ngasih contoh ayo donk ceburin sambitin kali,135,23
biar masak,10,2
klo buka bisnis mending negeri aja deh ngapain harap yg regulasi kek taik,73,13
gua kmrn tilang pintain duit bang nanya gua gua bilang 15 rb gamau wkwk nya yaa tau la wkwkwk,93,19
pangkat letnan duit,19,3
bang tpi narikin duit doang tempat2 kroke trus warung2 jual miras bukti sma temen2 s3ndiri silah cek,100,17
si coklat yg gak jujur oknum oknum buanyakkkkkkk alam lapor gelap sales 2017 sampe sekar ga tuh maju lapor kalo kantor duit duit yg lapor ga jalan,146,27
ammarzonetv aman rumah hacker gk twrdetek,41,6
ssssst,6,1
skill 1 2 bang langsung skill 3 ulti gitu wkkwk,47,10
sloganya ayom lindung yg bayar polisi cemen gak berani ama yg korup rakyat ngkp aniaya siksa rakyat udah tau laku polisi citra apa gak ngaruh rakyat fakta lapang sungguh kejam,175,30
uang abang kerja gak uang abang malak,37,7
mesti institusi polisi polisi polisi kayak pm kalo tni pisah polisi reguler satu kantor bikin mandiri lapor langsung pusat daerah koordinasi tugas awas tangkap tangan oknum polisi langgar hukum karirnya beda polisi masuk pensiun gak mutasi satu sama kayak pm benar2 penting enak satu beda tingkat daerah sama bnn pimpin tingkat bintang kayak propam kantor nyatu mutasi satu kalo tingkat polres pangkat kasat provos mentok iptuakp gimana tingkat perwira segan mesti tingkat polres pangkat kompol awas perwira satu penjahatpengusaha lobi 2 kali polisi reguler satu modal itu kalo kalo gak minimal ketar tir bikin lembaga independen isi ahli hukum integritas tugas kayak bpk audit tugas polisi 36 si propinsi lapor kapolri langsung presiden mumpung reformasi polisi,762,116
daerah kak indonesia yaa,24,4
temenku aja lapor hasil jebretan foto lalulalu,46,7
polisi bang,11,2
emng polisi indonesia gitu bobrok,33,5
biar bayar akhirat,18,3
yg komen ga suka fix okunumnya wkwkwk engga oknum sewa bazerr masyarakat normal indonesia ga ga tuju fakta deatas,113,19
bener,5,1
yg mrasa baca komen ino senyam senyum tp sdikit tir smoga bs baik hukum indonesia,81,15
yg usaha tau hasil uang yg kena musibah aja mobil laka lantas duitin klo ngurus mobil hrs tebus,95,18
bener banget bang foto2 jalan pagi rahasia kek gitu gaji kesel hilang motor lapor kena 250cuma kertas suruh tinggalin nomer hp sampe skrang gda kabar,149,25
fakta sam jgk ngurus sim sngt2 dasar aparat konoha,50,9
sampe negeri grogoti sm aparat,30,5
bang miara cepu,15,3
bayar brp,9,2
ariesbast ku jg kak,19,4
bener wkwk motor gua tuh ketemu 7 taun hilang pas suruh bayar anjir harga motor harga motor satria fu gua 2013 kisar 23 jt ilang gitu aja pas 7 nya suruh bayar 9 juta polisi kalo tau gitu beli bodong aja bpkb stnk tinggal ketok no mesin begitu otak kotor muncul ga lakuin sampe alhamdulillah dzalimi polisi kasih allah rumah mobil motor biji m moga kena dzalim biar allah balas nya doa usaha aja guyss,401,75
kalo ngomong bener si,21,4
l334e9l lulus an sma smk gk tau polisi orang dalem duit,55,11
indonesia polisi nya,20,3
daerah aja fomo fotoin doang trus diri tepi jalan,49,9
betul2 sampah instansi sdh mmg uang kuasa wanita tuju polisi,60,10
bener bet ihhhh,15,3
fakta instansi gin polisi konoha,32,5
pin dedddd,10,2
iya wkwkw,9,2
jadi pulang sekolah beli es warung makan pas ehhh 2 oknum polisi tni ngajak foto pegang es bungkus akan habis sosialisasi,121,21
terinakasih,11,1
darah daging bobrok,19,3
butuh liberasi liberasi yntv,28,4
nyata guna masyarakat polisi tidur karna bantu amplopin,55,8
byorka palsu tangkap,20,3
aduh aduh aduh banjir fakta polisi gimana biar warga negara indonesia percaya pikir tuh budengan edar berita tangkap bjorka udah lucu didenger bjorka brojol bu ditangkep kemaren tuh,181,28
tau sih bang,12,3
sip bro dri pimpin kl yg mimpin orang yg mental bawahanya ikuttapi kl mimpi integritas yg jujur adil bawah yg buat tdak kurang,126,23
nyata gak istilah oknum institusi sdh biang kerok kriminal,58,9
buset post lgsg ribu fakta wkwkw selamat bro udh warga negara indonesia yg alam,79,14
wihhh fakta nih,15,3
tuju bang nunggu polsek jam 6 pagi jam 11 ngga titik terang lapor lempar a b c d lempar 4 orang beda telpon temen yg polda bantu temen yg yg mabes ngga set jam eh langsung kasatreskrimnya langsung telepon wkwkwk kocak institusi polisi negara konoha,248,45
alam unik th 2014 sadap hp pacar jarak yg skrg istri lihat posisi dmn ambil gmbar hp jadulnya tau obrol tlp nya masuk sms wa tarik hibur skrg lupa tua,150,30
alhamdulillah,13,1
jm 8 empat uap coba cek warkop2 dekat,37,8
ngk bantaj fakta,16,3
polisi,6,1
foto ku polisi kyk nya udh ajak foto sma polisi,47,10
jujur iya banget nemuin isilop perempatan2 pagi pagi foto cabut,63,10
silau fakta,11,2
emang fakta sendiri gmn kerja polisi gerak uang luar negeri siang malam polisi patroli klu negara polisi lomba lomba besar perut,128,21
bobyenugraha3811 salam selip amplop,35,4
gada adul duit urus lancar gada gera,36,7
lingkung beda bang,18,3
emang kayak gitu damkar tangan lapor kirain satset jujur amanah kayak polisi gitu,81,13
anjroottt bner banget,21,3
daerah tu kasi tau alamat biar mutasi oknum,43,8
istilah darah daging hapus uninstall update sistem aplikasi yg,62,9
konoha bang,11,2
benerr lagi,11,2
gitu,4,1
real 1000,9,2
insiden deng brimob anggota brimob hasil visum lapor mabes brimob smpai gak tindak,82,13
ratus persen percaya institusi polisi ayom lindung telekkkkkkkk,63,8
nama budi,9,2
polisi konoha cengi sm bijorka,30,5
fakta mobil kena tipu uud,25,5
masokkk,7,1
cerita polisi mafia,19,3
orang orang males nangkep bjorka anak pank bilang bjorka biar pura pura pinter ntrus rubah nama instansi baek ngimpi malas,122,20
yg foto2 real banget ane 2x mintain ngefoto pas nongkrong deket simpang dateng langsung foto2 acting selesai foto langsung cus ilang,132,21
polisi film,11,2
emis berseragamm,16,2
polisi jujur,12,2
real sih tugas hari lepas phl salur bantu covid dr kantor pos bawa uang milyaran takut kenapa2 vulici lokal yg ditugasin standby dateng aja tugas habis foto ruang trus pergi 10 menit,182,32
fakta pribadi alami,19,3
jokowi tereset counter berita gempar heboh publik kecoh lupa jokowi ulang sadar tarik kebelankang siap kalah gempar publik kecoh lupa banyak jokowi keluarga bentuk korupsi nya sesuai sop solo oligarki parcok bentuk manusia malu moral jahat masuk dalam sistem betapa bobrok tahan seret upaya apa kotor apa jokowi culas bohong tipu sen kanan belok kiri dalang dalang khianat nkri penting keluarga serta termul nya,411,64
ciri khas kerja polisi india tukang rekayasa,44,7
judol,5,1
bener bener dah bjirka,22,4
fufufafa alih peran,19,3
kaumrebahanmerapat9748 fery irwandi gk singgung gw heran,56,7
kaumrebahanmerapat9748 buzzer bang,34,3
kaumrebahanmerapat9748 yaelahh aja yg cocok log kesini,54,7
kaumrebahanmerapat9748 lomba arang jamin dpt juara,50,6
cocok gak cocok kenyataanya yg bela termul,42,7
kaumrebahanmerapat9748 jokowi dah serius nanya,46,5
sandio9e8o ga liat berita bg yg rumor ijazah palsu jokowi,57,10
stres judol,11,2
wew buzzer jokowi langsung nongol wkwk sipaling giring opini biar gw sebutin ye wkwk panas aja jahat struktural sistematis mobil esemka ijazah palsu gimana buzzer jokowi roy suryo udah salin yg diserahin jokowi kpu pilpres ijasah yg tampil polisi konferensi pers klaim identik anak claim kuliah singapur kampus singapur gibran kuliah sana tipu hahaha gimana gimana buzzer termul,378,58
kaumrebahanmerapat9748 iya gw buzzer mobil esemka udah anggar prioritas covid izasah ugm udah bilang asli lu,108,16
abcdewxz rumor gk tuh,21,4
kaumrebahanmerapat9748 owh kaum kang panci tah pantes,53,7
lucu bgt,8,2
akun judul minggir dolo yoooooooookkkkk,39,5
curiga mintain poto empat,25,4
bejirrrka,9,1
kaumrebahanmerapat9748 banget,29,2
kaumrebahanmerapat9748 yg bahas komen nya kadang ni,51,7
andrialimudiny2u main judol km,30,4
polisi typing nya pangkat gw nyungsep kali pangkat ku,53,9
tangkap byorka bjorka,21,3
kaumrebahanmerapat9748 mas mas hati mu tutup allah dn g sembuh slh jokowi hebat nya si jokowi lo takut sm,105,19
priiiiiiiiiiiiiiiiiiiittttttttttt,33,1
dinobaggio4214 bang ferry udah bilang ugm nya bilang asli asli ijazah yg ngeluarin kampus asli konfirmasi petinggi2 kampus calo pura2 gak tau lu,144,23
kena prank nih,14,3
gimna nih kira2 dah dapet rencana promosi pangkat jabat yg kmrn nangkep bjorka kw,81,14
denimallik8943 jendral nya dlu,30,4
sandio9e8o cuapek deeh,22,3
shiraarthur loh kalo asli tinggal tunjukin kelar benar sederhana jujur bohong rumit berkelokkelok leo tolstoy hasil salin kpu telah teliti ahli palsu wkwk aneh buzzer sesuai data fakta giring opini publik parah jadi alat peting politik jokowi buzzer bisnis pasar,262,40
kaumrebahanmerapat9748 anak abah anak abah,42,5
hacker pro perintah takut dilenyapin agen perintah kalok hacker usaha takut pukul centeng usaha hacker maenan bohong entertain pacu adrenalin buru buru konteks bjorka jual data doang strategi politik jatuh usaha orang system kalah sistem dos menddos server akses bug atur mudah akses scraping ulang ulang bjorka milik hardware aplikasi sebar mumpuni kemarin tangkep barang bukti aja gak,386,58
denimallik8943 hahhh lucu lu dro,32,5
kerja polisi kalo rekayasa yaa klarifikasi polisi konoha nangkap hacker lawak,77,11
gonggg,6,1
kaumrebahanmerapat9748 tuh udah gua tag biar puas kenal d koment om ded epek miskin ga dapet bansos,99,17
sok tau,7,2
nangkep emng jago rekayasa,26,4
typing sii keren bang telegram wkkwkwkk,39,6
termul gak nyampe begini2,25,4
mw citra ehh orang nya typing,29,6
kaumrebahanmerapat9748 aje tim panci makn banteng,49,6
hehhhh,6,1
kaumrebahanmerapat9748 komenmu ku liat2 bawa2 jokowi dividio tpi vidio lohh btw komentar 100rp dapet,100,14
tangkap bjirka,14,2
ohhh ngiklan judol gin biar top komen bagus ide nya,51,10
biar sih fitnah2 gitu ga takut dosa lu asbun banget orang2 kek lu,65,13
sandio9e8o ijazah nya palsu,27,4
ba bi akun jud l,16,5
gak hekcer yg batu masyarakat miskin bukti yg salah tangkap,59,10
kaumrebahanmerapat9748 jokowi jokowi indonesia gk yg jokowi,59,7
bjirlah main,12,2
kaumrebahanmerapat9748 wew emang aja medan papua pas byk berita viral kadang mikir alih isu berita yaaa,103,16
cari kerja yg mahal polisi orang pinter masuk polisi,52,9
polisi malu hacker nangkep maling aja ga wkwkwkwk maling tangkep warga serahin polisi jarang polisi nangkep,107,16
lapor bank swata pantes polisi kerja cuan cuan cuan,51,9
titik koma benerin,18,3
nama anak pramuka ngerti teknologia ajar tahan hidup dg andal komunitas pramuka idn,83,13
wkwkwkw,7,1
mancing termul gorong gampang bgt bukti nongol buzzer termul,60,9
kaumrebahanmerapat9748 bahas,28,2
wkwkwkwkwk komen lucu banget bangg gerrr lgi klo pake bahasa indonesia kayak perintah bjorka tangkap bjorka etik,112,17
kaumrebahanmerapat9748 mentok alih atas alih nyaman hargadiri suap nasi,71,9
nagkep fufufafa aje ga palgi nangkep bjorka,43,7
aw lawak sih perintah konoha,28,5
pegasus,7,1
tau singkat bjorka,18,3
untung bjorka vidio atas simpul kalo bjorka main karna uang,59,10
ngimpiiii,9,1
untung medsos live tt retas data koruptor tangkap gk dpt cuan tangkap,69,12
hacker doang ga hacker tuju,27,5
hebat doang gak dpt duit,24,5
pikir perintah polisi gak yg tau koruptor mudah banget loh tau yg eksekusi tau aja koruptor semua lini jabat aja tutup aja,122,22
kpk gak kerja,13,3
basmi gimana maling aja,23,4
dapet data jalur resmi sesuai hukum laku ga jadi bukti sah make hukum rimba,75,14
knp ga lu aja der dripda nyuruh org,35,8
publikasi iya basmi kaya engga deh,34,6
untung nya pensiun jabat aktif aparat aktif untung nya,54,9
ramz9471,8,1
loh lhkpn emang gak bukti wakakakaka,36,6
bayar bjorka,12,2
adiyngrh haha mimpi basah warga konoha,38,6
logika bang orang korup kaga data cenderung hindar transaksi digital,68,10
kerjan lu emng sakit banget lu wkwkw,36,7
wkwkwkwk kocak,14,2
mimpi bjorka anak buah sambo,28,5
bjorka trus polisi kpk ngapain,30,5
yg gua tuju,11,3
lg ketawa liat ketikanlu broo,29,5
99 pjabat konoha pda korup,26,5
bjorka suka kalo perintah bobrok karna bobrok mudah curi uang,61,10
ni hacker robbin hood,21,4
asli eneg gw udah bahas korap korup asli banyak munafik teriak hukum koruptor benci praktek korup sempat korup praktek korup jabat mayoritas rakyat wkwk,152,24
bjorka gak butuh aku emang udah aku,35,7
orang korup duit sewa orang yg hebat celaka,43,8
tega hukum mas bgini2 aj ga ad guna,35,8
yaa kalo lu beli data usaha si byorka udah bilang kalo tuh jual data dar ngehack ngeshare doang validasi,104,19
motif bjorka pahlawan uang ga butuh validasi rakyat indonesia lo gausah mimpi,77,12
