original_comment,cleaned_comment
polisi nyrik heker tukang intimidasi beking usaha top 1 dunia,polisi nyrik heker tukang intimidasi beking usaha top dunia
iya bener awas bang takut tukang nasi goreng rumah bawa beceng,bener awas takut tukang nasi goreng rumah bawa beceng
priiittt tunjuk sim stnk salah fakta,priiittt tunjuk sim stnk salah fakta
hilang 2 kali kendaran kaga tindak bertahuntahun ujung ikhlas males lapor,hilang kali kendaran kaga tindak bertahuntahun ujung ikhlas males lapor
silau bang,silau
asumsi cerita orang,asumsi cerita orang
lahhhh daerah ku,lahhhh daerah
yg tangkep orang yg rugi bandar judol,tangkep orang rugi bandar judol
hilang bu hong kong hilang dopet uang hp ktp hong kong atm hk lapor polisi hong kong kasih kertas lapor hilang ktp atm bikin ktp atm polisi cari tas yg hilang tinggal yg hilang bu bodoh km,hilang hong kong hilang dopet uang ktp hong kong lapor polisi hong kong kasih kertas lapor hilang ktp bikin ktp polisi cari tas hilang tinggal hilang bodoh
fakta bgt,fakta bgt
nama robot nih,nama robot nih
awok wadidaw,awok wadidaw
udah rahasia ga ubah,udah rahasia ubah
eitssss,eitssss
lapor polisi adik hilang 3 thn fakta nya polisi uang biar nyari,lapor polisi adik hilang thn fakta polisi uang biar nyari
bikin surat hilang motor aja suruh bayar 25jt bulan puter2 kalo tindak lanjut paro harga motor,bikin surat hilang motor suruh bayar bulan puter kalo tindak lanjut paro harga motor
gw nangkap maling lapor polisi2 jam suruh lepasin maling nya isilop maling 5jt biar lepas udh hancur negri,nangkap maling lapor polisi jam suruh lepasin maling isilop maling biar lepas udh hancur negri
minggu gw liat polisi pas pagi d potodoang perepat lngsung pulanh wkwk,minggu liat polisi pas pagi potodoang perepat lngsung pulanh
emang bener reformasi polisi,emang bener reformasi polisi
keluarga peras polisi kerjasama oknum jabat lurah nuntut 1 m salah yg laku,keluarga peras polisi kerjasama oknum jabat lurah nuntut salah laku
lapor ilang motor eh proses dah kayak ilang mobil,lapor ilang motor proses dah kayak ilang mobil
kinggg,kinggg
motor hilang temu ngambil palak sm kanit reskrim ank buah mnta duit rokok parah wes,motor hilang temu ngambil palak kanit reskrim ank buah mnta duit rokok parah wes
jujur sekaliiiii,jujur sekaliiiii
bener nganter anak ku sekolah nya ngebantu nyebrangin anak anak sekolah asyik foto foto lapor biar liat kerja sebrangi anak,bener nganter anak sekolah ngebantu nyebrangin anak anak sekolah asyik foto foto lapor biar liat kerja sebrangi anak
fakta yg tutup,fakta tutup
gw orang yg tuju kalo institusi polisi tni gak kapolri kapolrian,orang tuju kalo institusi polisi tni gak kapolri kapolrian
gua bang kena begal syukur ngga diapaapain cumn ambil doang motor nya anggota nya ngomong ko begal kaga saksi,gua kena begal syukur ngga diapaapain cumn ambil doang motor anggota ngomong begal kaga saksi
bner fto ngajak orang yg lgi nongkrong poko citra banget,bner fto ngajak orang lgi nongkrong poko citra banget
real habis foto pulang ngatur lalulintas pakogah,real habis foto pulang ngatur lalulintas pakogah
realeated kota kaya wkwkwk,realeated kota kaya
cahaya tuan,cahaya tuan
fakta polisi mh gitu 999 gausah oknum deh dah muak,fakta polisi gitu gausah oknum dah muak
polisi konoha,polisi konoha
gilak gw penah fakta terang,gilak penah fakta terang
elah pake jelas emang iya jadi yg udah2 skenario sandiwara contoh grebek cafe tilang tilang maling teriak maling tawur biar polisi olah kerja yg parah sih nyuruh orang ngedarin narkoba yg dampak tangkep orang yg penasaran narkoba,elah pake jelas emang jadi udah skenario sandiwara contoh grebek cafe tilang tilang maling teriak maling tawur biar polisi olah kerja parah nyuruh orang ngedarin narkoba dampak tangkep orang penasaran narkoba
kalo komen sesuai fakta,kalo komen sesuai fakta
bro kalo gak gitu mkdal bro,kalo gak gitu mkdal
anak smp suruh motoin kalo pagi2,anak smp suruh motoin kalo pagi
1000 nyata,nyata
bang udah bang,udah
foto empat ngopi daerah,foto empat ngopi daerah
iya lgi anjirrr suruh motoin,lgi anjirrr suruh motoin
nyata swperti cari kambing hitam,nyata swperti cari kambing hitam
bg foto in bntr kh dokumen kirim grup polisi,foto bntr dokumen kirim grup polisi
bantu mabes gak mas yg mas banyak sih yg bawah ikat yaaah system ny,bantu mabes gak mas mas banyak bawah ikat yaaah system
fakta banget,fakta banget
savage,savage
tuju,tuju
terang banget,terang banget
fakta si,fakta
akar,akar
gua tuju gua pling mles yg nmnya isi lop,gua tuju gua pling mles nmnya isi lop
terang fakta,terang fakta
faktaaaaa bang,faktaaaaa
bener sekalikalau pagi yg jaga lintas pegawai busway,bener sekalikalau pagi jaga lintas pegawai busway
fakta 100,fakta
yg diomongin baca gak yaa,diomongin baca gak yaa
jabarin borok,jabarin borok
ban nyata hmmm syulit,ban nyata hmmm syulit
fakta terang terang cahaya ilahi,fakta terang terang cahaya ilahi
konoha,konoha
banget mending dr nangjap bjorka,banget mending nangjap bjorka
abis foto2 kirim atas lapor abis tuh ngopi banget tuh liat kalo pagi2,abis foto kirim lapor abis tuh ngopi banget tuh liat kalo pagi
bobrok institusi yg bayar gaji masyarakat,bobrok institusi bayar gaji masyarakat
fakta maseh,fakta maseh
lingkung dukung,lingkung dukung
cocok makan gaji rakyat gak manfaat rakyat,cocok makan gaji rakyat gak manfaat rakyat
jadi kantor polisi gr2 rumah temen maling tas dompet hilang surat2 temen bilang lapor surat hilang blablabla polisi blablabla temen administrasi polisi ah gak kayak temen iya maturnuwun and langkah jalan panggil pakpol pakpol mas mas pernae to rokoke permene gila gak sih administrasi gak pas udah tiba2 ngasih kode uang jajan orang kena musibah maling emang lawak banget si,jadi kantor polisi rumah temen maling tas dompet hilang surat temen bilang lapor surat hilang blablabla polisi blablabla temen administrasi polisi gak kayak temen maturnuwun and langkah jalan panggil pakpol pakpol mas mas pernae rokoke permene gila gak administrasi gak pas udah tiba ngasih kode uang jajan orang kena musibah maling emang lawak banget
oiiii jujur,oiiii jujur
ngoten gercep banget bang,ngoten gercep banget
polisi yg jujur hoegeng polisi tidur,polisi jujur hoegeng polisi tidur
gw rampok jg kasus sulit bpkb surat kendara curi mgurus habis 10 jt 1 mobil korban gila emang konoha mau dpt gaji kerja tidur malak orang mah udah jahat tp legal,rampok kasus sulit bpkb surat kendara curi mgurus habis mobil korban gila emang konoha mau dpt gaji kerja tidur malak orang mah udah jahat legal
dih klo ngomong suka bener,dih klo ngomong suka bener
temen gw kena narkobs ketangkep tiba2 bsoknya udah rumah iseng2 nebus surat lapor sbelum layang jaksa 100jt njiiir gilaaak emang bener mahfud urus hukum pintu utama polisi,temen kena narkobs ketangkep tiba bsoknya udah rumah iseng nebus surat lapor sbelum layang jaksa njiiir gilaaak emang bener mahfud urus hukum pintu utama polisi
gak patroli malam gw liat tuh polisi patroli malam henti d depan2 karaoke mobil orang hampir bawan rokok,gak patroli malam liat tuh polisi patroli malam henti depan karaoke mobil orang hampir bawan rokok
iyah lagih,iyah lagih
udah bener2 bobrok emang yg oknum bejibun,udah bener bobrok emang oknum bejibun
nahh ituu,nahh ituu
faktaaaaaa,faktaaaaaa
real lapang,real lapang
pingin masuk gua hacker ga akses,pingin masuk gua hacker akses
masukksana aja bayar ga heran jdinya bgini,masukksana bayar heran jdinya bgini
dapat preman bikin susah dunia usaha,preman bikin susah dunia usaha
klo pengelihtan gua y karna kbiasaan k enak mngkin kyk sim byar pajek susah dri situ masyrakat nembak mw bikin cpt mudah dri situ enak jd kbiasaan bhkan bkn yg sepele,klo pengelihtan gua karna kbiasaan enak mngkin kyk sim byar pajek susah dri situ masyrakat nembak bikin cpt mudah dri situ enak kbiasaan bhkan bkn sepele
jadi alami parah bro nabrak orang sampae patah tulang tanggungjawab korban biaya rs yg tanggungjawab laka lantas jasa raharja 2012 jasa raharja 10 jt saran kakak korban jasa raharja utk biaya rs aja tuju urus jasa raharja surat2 polsekpolres utk syarat jasa raharja biar cair dana urus surat polrespolsek bilang paro utk polsekpolres arti 5050 iya2 aja pikir urus selesai singkat dana jasa raharja turun polsek bawa amplop isi uang 500 ribu gak kasih 5050 dana korban obat dana sekian terima silah gak gak apa2 tinggal polsek rs urus obat korban alam hati2 urus jasa raharja gak pandai2 rugi,jadi alami parah nabrak orang sampae patah tulang tanggungjawab korban biaya tanggungjawab laka lantas jasa raharja jasa raharja saran kakak korban jasa raharja utk biaya tuju urus jasa raharja surat polsekpolres utk syarat jasa raharja biar cair dana urus surat polrespolsek bilang paro utk polsekpolres arti pikir urus selesai singkat dana jasa raharja turun polsek bawa amplop isi uang ribu gak kasih dana korban obat dana sekian terima silah gak gak apa tinggal polsek urus obat korban alam hati urus jasa raharja gak pandai rugi
jujur banget,jujur banget
bener bangetttt cuyyy,bener bangetttt cuyyy
benerr,benerr
si abang kalo ngomong suka bener,abang kalo ngomong suka bener
buset lu bicara fakta sih,buset bicara fakta
ariesbast balikin modal ngejar visi misi oknum,ariesbast balikin modal ngejar visi misi oknum
gua cuman d gua polisi foto d empat foto foto empat d tinggal,gua cuman gua polisi foto empat foto foto empat tinggal
lo yg patroli d cafe tuak,patroli cafe tuak
jir fakta wkwkwkwkwk,jir fakta wkwkwkwkwk
kelasss king,kelasss king
malem pergi bri atm 2 org parcok foto pintu masuk bank salah 1 nya fotoin eh gataunya satu adl tetangga kya cengok bgt sampe skrg klo ktmu shalat jamaah kya hindar gtu hehehe,malem pergi bri org parcok foto pintu masuk bank salah fotoin gataunya satu adl tetangga kya cengok bgt sampe skrg klo ktmu shalat jamaah kya hindar gtu hehehe
loh,loh
ariesbast masuk suap anggap profesi abdi bisnis,ariesbast masuk suap anggap profesi abdi bisnis
yg gak terima termull,gak terima termull
bobyenugraha3811 wkwk banget jirr kaya gue instansi perintah lurah ketua dpc ormas tukang palak lapak 1 camat isi dominan keluarga,bobyenugraha banget jirr kaya gue instansi perintah lurah ketua dpc ormas tukang palak lapak camat isi dominan keluarga
pikir yg oknum cendrung yg gak baik teman teman,pikir oknum cendrung gak baik teman teman
fakta suami sya kerja jdi satpam polisi dteng bwa mobil fto kabur,fakta suami sya kerja jdi satpam polisi dteng bwa mobil fto kabur
jokonarimo1899 ku dsini aja brrti,jokonarimo dsini brrti
senin kamis kota foto foto,senin kamis kota foto foto
wkwkw,wkwkw
loooh kaget,loooh kaget
boom empat kadang nyuruh kang ojek fotoin,boom empat kadang nyuruh kang ojek fotoin
rekrutmen pungli bayar lolos sampek kiamat ga kerja sesuai job desk nya temen sampe 500 jt lo kalo ngandelin gaji nutup uang 500 jt,rekrutmen pungli bayar lolos sampek kiamat kerja sesuai job desk temen sampe kalo ngandelin gaji nutup uang
nir bener,nir bener
bener bgt fakta,bener bgt fakta
asa tender ada cyber security,asa tender cyber security
banjir faktaaa boss,banjir faktaaa boss
komen kog suka bener sih,komen kog suka bener
fakta ngak maju kantor sabtu minggu libur,fakta ngak maju kantor sabtu minggu libur
hahahahah yg selfi dlu abis cabut,hahahahah selfi dlu abis cabut
kasih tau keluarga sanak saudara jgn daftar polisi benci rekrutmen yg daftar ribu gk dikit kn lu udh gk butuh polisi,kasih tau keluarga sanak saudara jgn daftar polisi benci rekrutmen daftar ribu dikit udh butuh polisi
fakta kampung ku gitu pas rajia lalulintas yg bikin rugi masyarakat ayom nya,fakta kampung gitu pas rajia lalulintas bikin rugi masyarakat ayom
gausah jauh2 bang bikin sim aja calo yg calo polisi sndiri wkwk,gausah jauh bikin sim calo calo polisi sndiri
empat polwannya make up tebal glowing glowing pagi aja empat,empat polwannya make tebal glowing glowing pagi empat
parah banget sih,parah banget
tpi kerja yg idam idam org calon mertua,tpi kerja idam idam org calon mertua
bayar bayar habis tanah habis sawah habis,bayar bayar habis tanah habis sawah habis
bismillah assalamualaikum jual rumah dgn harga tanah kosong luas tanah 700m luas bangun 500mpersegi cocok usahadan rumah pribadi lokasi jln kedung baruk no 140sby timur persis indomart rumah ininol jln raya jual cuman harga tanah kosong sajasurat shm ready 14 kamar kos penuh hun,bismillah assalamualaikum jual rumah harga tanah kosong luas tanah luas bangun mpersegi cocok usahadan rumah pribadi lokasi jln kedung baruk sby timur persis indomart rumah ininol jln raya jual cuman harga tanah kosong sajasurat shm ready kamar kos penuh hun
slow bang fokus perut seragam coklat,slow fokus perut seragam coklat
warga suruh ronda,warga suruh ronda
real madrid,real madrid
kk ortu lapor hilang gas udah 2x jadi maling udah ketangkep kak ortu lapor suruh bayar 24 jt lapor gila gak tuh gak tahun udah lepas tuh maling,ortu lapor hilang gas udah jadi maling udah ketangkep ortu lapor suruh bayar lapor gila gak tuh gak tahun udah lepas tuh maling
hilang motor fu sepupu lapor polisi gubris kenal yg maling motor informasi lacak alhamdulilah ketemu berkat tunjuk hilang nya daerah yg ambil kelompok hilang nya du daerah kelompok yg ambil,hilang motor sepupu lapor polisi gubris kenal maling motor informasi lacak alhamdulilah ketemu berkat tunjuk hilang daerah ambil kelompok hilang daerah kelompok ambil
fakta pernh ngalamin jg busuk ladusing,fakta pernh ngalamin busuk ladusing
terang benderang,terang benderang
taat patung polisi polisi tidur aja kayak,taat patung polisi polisi tidur kayak
wkwkwk benerrrr,benerrrr
so coklat si adab sok etika,coklat adab sok etika
turis asing aja lapor damkar hilang hp,turis asing lapor damkar hilang
udh bobrok institusi tp heran nya ngga malu kapolrinya aja ngga mundur,udh bobrok institusi heran ngga malu kapolrinya ngga mundur
tau polisi tu aib,tau polisi aib
dokumen kasih orang dikerjain bayar negara,dokumen kasih orang dikerjain bayar negara
wow,wow
bang yg real yg negri iniyg susah tmbh susah klo kena mslh hkum,real negri iniyg susah tmbh susah klo kena mslh hkum
fakta real yg terjdi negri,fakta real terjdi negri
acab,acab
bener banget wkwkwkwkw pagi nemuin pagi2 pose atur lintas poto temennya menit jalan udah ga orang jam2 krusial orang2 berangkat sekolah kerja d,bener banget wkwkwkwkw pagi nemuin pagi pose lintas poto temennya menit jalan udah orang jam krusial orang berangkat sekolah kerja
tenggelam laut fakta,tenggelam laut fakta
christytolissautboydenpard2794 beda preman beda seragam aja,beda preman beda seragam
sy lapor tipu jg gk urus cmk dapet kertas doang,lapor tipu urus cmk dapet kertas doang
wkwkwk bener2 bang emang bener foto empat 10mnt habis ilang,bener emang bener foto empat mnt habis ilang
fakta biadab polisi,fakta biadab polisi
si si nya yak siang,yak siang
polisi gajih perintah perintah gajih rakyat bayar pajak kerja bayar,polisi gajih perintah perintah gajih rakyat bayar pajak kerja bayar
analisanya,analisanya
kelazzzz kingg,kelazzzz kingg
kasih understand king biar people people know,kasih understand king biar people people know
banget inget pas smk turun bus trus polisi pake motor polisi foto murid doang pergi,banget inget pas smk turun bus trus polisi pake motor polisi foto murid doang pergi
udah gak pantes bilang oknum,udah gak pantes bilang oknum
waduhh benerr sekali,waduhh benerr sekali
polisi y planga plongo,polisi planga plongo
basicly yg uang uang gaji tunjang dasar serakah tamak embel embel polisi lembaga yg kuat engga kalo uang udah ga kepake lembaga 2025 bullshit kalo polisi suka ngonten udah rusak citra,basicly uang uang gaji tunjang dasar serakah tamak embel embel polisi lembaga kuat engga kalo uang udah kepake lembaga bullshit kalo polisi suka ngonten udah rusak citra
tempat seser beking tambang emas ilegal kayu ilegal sabung ayam kadang jaga pesta hajat pakai hibur tarif,tempat seser beking tambang emas ilegal kayu ilegal sabung ayam kadang jaga pesta hajat pakai hibur tarif
buetull baget,buetull baget
budaya yg udh turun turun senior tindas junior laku budaya kalo rubah benar2 orang2 yg super tangan besi,budaya udh turun turun senior tindas junior laku budaya kalo rubah benar orang super tangan besi
curhat,curhat
bgt liat yg foto abis pergi,bgt liat foto abis pergi
iya anjir kalo polisi kerja bener bener jam lapang oknum karna anggota tuh foto foto cabut wkwkwk,anjir kalo polisi kerja bener bener jam lapang oknum karna anggota tuh foto foto cabut
hacker data bisnis bjorka skenario buruk rusak indonesia hitam bisnis putih indonesia tp yg duli indonesia,hacker data bisnis bjorka skenario buruk rusak indonesia hitam bisnis putih indonesia duli indonesia
reaaaaall,reaaaaall
dasar pilis emng pilis miskin akal sehat moral,dasar pilis emng pilis miskin akal sehat moral
fakta polri guna habis anggar negara malak masyarakat,fakta polri habis anggar negara malak masyarakat
jngn bang,jngn
polres jogja polres bantul lapor kesana kasih kertas doang gak tindak,polres jogja polres bantul lapor kesana kasih kertas doang gak tindak
ril gw ketangkep motor gw ss lengkap knalpot standar inti standar pabrik situ kena 1jt nebus tu motor kantor gitu kalo biar gampang mending gin bilang selang tmn gw ketangkep pas balap liar taulahy klo motor kya gitu gmna kondisi ss motor g ad nebus tu motor cuman 500 anj,ril ketangkep motor lengkap knalpot standar inti standar pabrik situ kena nebus motor kantor gitu kalo biar gampang mending gin bilang selang tmn ketangkep pas balap liar taulahy klo motor kya gitu gmna kondisi motor nebus motor cuman anj
fakta ngalamin kaya gitu musibah bantu palak banyak orang bisa gak isilop ikutikutan tempat polisi patroli pagi doang ferdi sambo polisi coreng pagi hari polisi jagajaga empat adem ayem kaha gin polisi luar kantor langka,fakta ngalamin kaya gitu musibah bantu palak banyak orang gak isilop ikutikutan tempat polisi patroli pagi doang ferdi sambo polisi coreng pagi hari polisi jagajaga empat adem ayem kaha gin polisi luar kantor langka
reformasipolri,reformasipolri
lulus s1 kalo polisi biar kerja bener,lulus kalo polisi biar kerja bener
gua ken indo nepal part2 pas rakyat murka perintah ceburin dahh jabat publik nepal bar2 yg ngasih contoh ayo donk ceburin sambitin kali,gua ken indo nepal part pas rakyat murka perintah ceburin dahh jabat publik nepal bar ngasih contoh ayo donk ceburin sambitin kali
biar masak,biar masak
klo buka bisnis mending negeri aja deh ngapain harap yg regulasi kek taik,klo buka bisnis mending negeri ngapain harap regulasi kek taik
gua kmrn tilang pintain duit bang nanya gua gua bilang 15 rb gamau wkwk nya yaa tau la wkwkwk,gua kmrn tilang pintain duit nanya gua gua bilang gamau yaa tau
pangkat letnan duit,pangkat letnan duit
bang tpi narikin duit doang tempat2 kroke trus warung2 jual miras bukti sma temen2 s3ndiri silah cek,tpi narikin duit doang tempat kroke trus warung jual miras bukti sma temen sndiri silah cek
si coklat yg gak jujur oknum oknum buanyakkkkkkk alam lapor gelap sales 2017 sampe sekar ga tuh maju lapor kalo kantor duit duit yg lapor ga jalan,coklat gak jujur oknum oknum buanyakkkkkkk alam lapor gelap sales sampe sekar tuh maju lapor kalo kantor duit duit lapor jalan
ammarzonetv aman rumah hacker gk twrdetek,ammarzonetv aman rumah hacker twrdetek
ssssst,ssssst
skill 1 2 bang langsung skill 3 ulti gitu wkkwk,skill langsung skill ulti gitu wkkwk
sloganya ayom lindung yg bayar polisi cemen gak berani ama yg korup rakyat ngkp aniaya siksa rakyat udah tau laku polisi citra apa gak ngaruh rakyat fakta lapang sungguh kejam,sloganya ayom lindung bayar polisi cemen gak berani ama korup rakyat ngkp aniaya siksa rakyat udah tau laku polisi citra apa gak ngaruh rakyat fakta lapang sungguh kejam
uang abang kerja gak uang abang malak,uang abang kerja gak uang abang malak
mesti institusi polisi polisi polisi kayak pm kalo tni pisah polisi reguler satu kantor bikin mandiri lapor langsung pusat daerah koordinasi tugas awas tangkap tangan oknum polisi langgar hukum karirnya beda polisi masuk pensiun gak mutasi satu sama kayak pm benar2 penting enak satu beda tingkat daerah sama bnn pimpin tingkat bintang kayak propam kantor nyatu mutasi satu kalo tingkat polres pangkat kasat provos mentok iptuakp gimana tingkat perwira segan mesti tingkat polres pangkat kompol awas perwira satu penjahatpengusaha lobi 2 kali polisi reguler satu modal itu kalo kalo gak minimal ketar tir bikin lembaga independen isi ahli hukum integritas tugas kayak bpk audit tugas polisi 36 si propinsi lapor kapolri langsung presiden mumpung reformasi polisi,mesti institusi polisi polisi polisi kayak kalo tni pisah polisi reguler satu kantor bikin mandiri lapor langsung pusat daerah koordinasi tugas awas tangkap tangan oknum polisi langgar hukum karirnya beda polisi masuk pensiun gak mutasi satu sama kayak benar penting enak satu beda tingkat daerah sama bnn pimpin tingkat bintang kayak propam kantor nyatu mutasi satu kalo tingkat polres pangkat kasat provos mentok iptuakp gimana tingkat perwira segan mesti tingkat polres pangkat kompol awas perwira satu penjahatpengusaha lobi kali polisi reguler satu modal kalo kalo gak minimal ketar tir bikin lembaga independen isi ahli hukum integritas tugas kayak bpk audit tugas polisi propinsi lapor kapolri langsung presiden mumpung reformasi polisi
daerah kak indonesia yaa,daerah indonesia yaa
temenku aja lapor hasil jebretan foto lalulalu,temenku lapor hasil jebretan foto lalulalu
polisi bang,polisi
emng polisi indonesia gitu bobrok,emng polisi indonesia gitu bobrok
